报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),3.82,2.27,0.91,1.65,0.7,0.25,0.04,1.95,1.71,1.08,0.39,2.1,1.51,0.76,0.18,0.95,0.56,0.36,0.96,0.64,1.36,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.86,2.93,--,--,2.23,1.48,1.89,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.14,0.57,--,--,0.84,0.63,1.13,--,
主营业务收入(万元),467822,288672,122479,372129,236547,138846,57129,368159,285585,183779,73146,307933,212121,121090,38454,111960,73224,48158,85369,68562,55665,8653,
主营业务利润(万元),282402,175281,73928,190328,103564,53772,23314,170267,132883,85235,34103,142667,99227,56200,18402,63671,42788,27071,54902,44236,36334,4195,
营业利润(万元),196701,117354,49691,74802,32493,8564,2526,96020,69023,44051,19198,88177,67088,35296,8176,39117,28927,19215,40921,31941,26833,2831,
投资收益(万元),5512,3347,814,6480,4579,2515,660,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),-262,-262,39,-187,-7,-3,-2,35,15708,7467,1655,10495,3728,463,36,4454,1431,136,3532,-1470,150,253,
利润总额(万元),196438,117091,49730,74615,32486,8561,2524,96055,84731,51518,20853,98672,70817,35759,8212,43570,30358,19351,44453,30471,26984,3084,
净利润(万元),171231,101684,41421,74250,31873,11223,1936,88694,76263,48198,17535,85682,60226,30406,7013,37835,22451,14466,38358,25664,22461,2652,
净利润(扣除非经常性损益后)(万元),162119,96202,38901,67196,26814,8079,1204,87073,75025,47921,17398,85138,60387,30825,7795,37586,22263,14350,37638,29432,26348,2511,
经营活动产生的现金流量净额(万元),178915,80799,-3917,123210,15391,37093,11625,109954,62836,30903,12417,-18246,-5702,-11805,-5668,22847,17275,15448,33466,25165,18649,2472,
现金及现金等价物净增加额(万元),-15255,25411,17896,-65742,-106842,-26561,-5324,13729,87572,13596,11031,49748,-18865,-22368,-6451,10835,6809,5036,17948,9335,15054,2205,
总资产(万元),761988,691945,578648,534522,463973,473665,431752,441794,418884,359300,339591,321525,213550,179052,160048,139292,--,--,100519,64989,35990,10738,
流动资产(万元),635556,575449,499254,455112,414244,425254,385610,405836,385200,326893,309909,292343,184014,150467,132233,111449,--,--,79119,50071,34863,9895,
总负债(万元),189970,192902,119528,123775,95789,137566,79821,93218,84327,54632,48391,47874,45921,41251,45659,21902,--,--,11279,5857,4863,1536,
流动负债(万元),187210,189969,116711,120804,94080,135687,77825,91189,82578,52865,47029,46494,44523,40334,44620,21345,--,--,11165,5148,4863,1536,
股东权益不含少数股东权益(万元),572018,499043,459121,410747,368184,336100,351930,348576,334377,304484,291013,273462,167437,137621,114213,117202,--,--,89240,59133,31127,9202,
净资产收益率加权(%),34.8,22.12,9.45,19.72,8.86,3.19,0.55,28.79,25.18,16.51,6.21,47.13,43.16,24.18,5.81,35.52,23.64,15.53,51.23,58.38,114.66,36.8,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
