报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.09,0.07,0.05,0.43,0.37,0.28,0.14,0.84,0.56,0.36,0.19,0.77,0.36,0.52,0.45,0.35,
每股净资产(元),--,--,--,--,--,--,--,--,--,4.66,--,4.3,3.89,3.53,3.25,2.8,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,0.37,--,0.78,0.39,0.76,0.56,0.31,
主营业务收入(万元),35012,23209,11773,52105,39813,29163,15169,61594,43355,28131,15175,64811,28738,51215,43328,37214,
主营业务利润(万元),6344,4314,2476,14140,11394,8466,4484,21481,15217,9686,4963,21861,9799,15296,12774,10685,
营业利润(万元),1619,1184,961,7173,6437,4626,2383,11348,7621,4796,2517,10384,4936,6534,5581,4427,
投资收益(万元),125,96,182,1067,863,555,161,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),1,1,1,412,303,305,3,397,211,185,119,344,99,703,634,415,
利润总额(万元),1620,1186,962,7584,6740,4932,2386,11745,7832,4981,2636,10728,5034,7238,6215,4842,
净利润(万元),1486,1087,854,6669,5830,4255,2034,10103,6769,4294,2264,9276,4348,6297,5403,4218,
净利润(扣除非经常性损益后)(万元),908,701,667,4456,4411,3879,2109,9196,--,4137,2163,8983,4265,5699,4864,3866,
经营活动产生的现金流量净额(万元),5356,4622,320,9289,4064,4716,17,7742,6754,4460,4339,9350,4627,9137,6712,3708,
现金及现金等价物净增加额(万元),2886,2551,1409,-675,1889,5766,3120,3088,1435,960,2808,1122,2172,-605,-3869,4981,
总资产(万元),145183,148226,149899,144055,144769,149123,156260,109724,--,95872,--,95607,94105,89455,78607,68782,
流动资产(万元),60194,69832,77687,76023,82235,87300,96476,55718,--,44465,--,42745,40250,35536,33337,31913,
总负债(万元),31740,35235,35174,30226,31791,37732,44711,47455,--,39991,--,44019,47445,47143,39592,35169,
流动负债(万元),31366,34821,34684,29360,30828,35888,42731,45946,--,37130,--,42319,45045,39821,31715,33601,
股东权益不含少数股东权益(万元),113443,112991,114725,113829,112977,111391,111548,62269,--,55882,--,51588,46660,42312,39015,33613,
净资产收益率加权(%),1.32,0.95,0.75,6.2,5.49,4.1,2.15,17.76,--,7.99,4.29,19.76,9.77,15.11,14.88,13.39,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
