报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),1.53,0.66,0.14,1.44,1.31,0.84,0.45,1.99,1.7,0.9,0.69,2.12,1.86,1.2,0.48,2.1,1.61,0.83,1.31,0.9,0.86,0.29,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.62,--,--,5.6,4.42,3.63,2.77,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.9,--,--,1.27,1.34,0.46,-0.26,
主营业务收入(万元),220367,120206,45634,224579,172113,110652,54152,202971,151707,93870,45237,148895,104852,65510,30855,118878,82708,48854,94672,78881,83512,32185,
主营业务利润(万元),84717,44685,17097,84778,65268,41403,20533,79210,58275,33289,13311,39231,28297,17651,8742,33673,23063,13583,23654,17297,16388,6310,
营业利润(万元),45610,18789,3486,41745,39062,24821,9615,43653,38188,20014,7535,16207,13209,8598,3868,16309,12710,6420,9115,6565,7744,2508,
投资收益(万元),1152,1035,261,259,474,156,62,5424,5204,1120,-34,67,-229,-51,--,36,36,36,542,164,--,422,
营业外收支净额(万元),1645,863,430,1863,1254,867,436,1259,982,673,411,2370,2244,612,227,1816,1381,795,2180,939,8,-69,
利润总额(万元),47255,19652,3916,43609,40316,25688,10052,44912,39170,20687,7946,18577,15453,9210,4096,18124,14090,7215,11295,7505,7752,2439,
净利润(万元),44969,18749,3968,40501,36734,23506,8933,39742,33946,17944,6949,17643,14461,8991,3578,15778,12098,6237,9812,6735,6333,1788,
净利润(扣除非经常性损益后)(万元),39486,15937,3181,36093,34200,21947,8379,33152,28299,15844,6436,15074,12464,8440,3578,14177,10868,5504,7495,5796,6298,1419,
经营活动产生的现金流量净额(万元),70349,35063,3427,61964,30129,18399,3676,19770,23922,13392,-1276,8361,3413,-54,-3155,21719,9810,4389,9508,10043,3395,-1625,
现金及现金等价物净增加额(万元),96725,-1786,-2496,34706,15179,208,-3183,-28467,13784,19558,-2739,45181,23038,-3900,-4712,15793,5302,558,6277,6350,2716,8212,
总资产(万元),579906,469085,276691,286083,283410,262594,252843,257437,213398,192273,167514,166965,157779,95339,--,89980,--,--,63642,47463,41472,26870,
流动资产(万元),274582,176668,161650,176925,170806,151627,150108,143060,169093,163349,143123,143513,142790,82741,--,79833,--,--,57376,42283,37108,23766,
总负债(万元),84210,108112,76543,96365,92323,79214,81663,81714,52974,47733,32844,39053,33716,28535,--,32917,--,--,21642,14315,14790,9536,
流动负债(万元),60507,83860,43263,62729,57338,53803,56479,55363,44260,40009,24803,31614,27168,20396,--,24589,--,--,18041,10772,13047,9265,
股东权益不含少数股东权益(万元),495568,360797,199975,189718,191081,183327,171076,175649,160356,144401,134595,127854,123687,66414,--,57128,--,--,41987,33148,26682,17335,
净资产收益率加权(%),14.75,8.22,2.03,22.25,19.99,13.46,5.15,26.27,23.51,13.01,5.29,21.18,20.57,14.55,6.08,31.92,25.38,13.9,25.78,22.51,29.28,16.09,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
