报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.35,0.24,0.11,0.55,0.43,0.28,0.14,0.65,0.5,0.32,0.15,0.69,0.33,0.15,0.53,--,0.92,
每股净资产(元),--,--,--,--,--,--,--,--,2.86,2.68,--,--,2.26,2.17,--,--,1.58,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.65,0.38,--,0.78,--,0.13,0.62,--,0.59,
主营业务收入(万元),192603,125259,62888,250747,187203,123783,63936,217461,156662,101795,48578,181245,83012,41296,146568,129751,111888,
主营业务利润(万元),63141,39839,20845,83609,62533,42167,24516,84965,60900,40475,18961,74573,34638,16886,61274,52585,48224,
营业利润(万元),36496,24507,12264,57691,46483,29124,15378,58144,43288,29333,14050,60424,28361,13746,45470,39101,36393,
投资收益(万元),2572,1597,810,3578,2366,2020,536,538,287,315,244,265,88,45,1027,1088,105,
营业外收支净额(万元),2512,2511,103,2697,2599,2255,430,3509,3879,951,2,3723,2940,150,2179,2367,1607,
利润总额(万元),39008,27018,12367,60388,49081,31380,15808,61652,47167,30284,14053,64147,31301,13896,47649,41468,37999,
净利润(万元),29377,20176,9254,46819,36635,23323,11722,46553,35056,22519,10564,48297,23415,10358,34748,25539,23212,
净利润(扣除非经常性损益后)(万元),28019,16767,7671,41375,32218,19191,10189,43692,33108,22469,10336,--,21118,--,--,--,22067,
经营活动产生的现金流量净额(万元),75489,48248,20320,46822,36420,13325,9495,62054,45746,26741,9847,55199,28217,9224,41873,35060,30225,
现金及现金等价物净增加额(万元),63297,43622,15991,-2406,-3830,-12939,-2221,46993,-7397,-10405,4035,22223,27581,9293,12498,-9583,5565,
总资产(万元),520708,491602,500153,485574,472967,454506,463461,447526,287978,265642,--,261189,235122,206982,180239,162890,145440,
流动资产(万元),314464,285114,296437,284348,281421,273519,292845,288056,135828,124380,--,134391,127505,108057,90983,90796,86766,
总负债(万元),120745,102216,103293,97516,95740,92143,94292,89005,80343,70610,--,70959,71000,49933,51251,58801,50698,
流动负债(万元),69126,50806,54135,53882,55925,52729,54474,48632,45616,36581,--,38638,38765,18920,20466,31483,27251,
股东权益不含少数股东权益(万元),393433,382405,390301,380981,370359,356652,363948,352656,201968,189611,--,185013,159727,153597,125312,90758,81644,
净资产收益率加权(%),7.45,5.19,2.4,12.8,10.1,6.4,3.27,22.06,17.83,11.47,5.55,29.96,15.65,7.27,31.08,32.23,38.35,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
