报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.46,0.31,0.15,0.6,0.47,0.32,0.15,0.55,0.31,0.46,0.25,0.4,--,--,--,--,
每股净资产(元),--,--,--,--,--,4.19,--,--,--,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.2,--,0.32,--,0.2,--,0.3,--,--,--,--,
主营业务收入(万元),894316,599978,313904,1174148,861878,573887,297178,1014623,478503,868419,412192,736924,526748,690307,652626,574050,
主营业务利润(万元),297874,202674,101000,350828,277659,190816,97757,322405,165206,252100,133814,199953,157967,194312,205162,167372,
营业利润(万元),395482,268107,129777,472401,380167,259248,123166,396092,203015,276284,149552,241724,199736,196957,180102,151849,
投资收益(万元),110445,77480,39013,145544,105072,68738,38286,117149,52977,80394,39880,84313,68991,61857,51434,56172,
营业外收支净额(万元),1697,825,574,3248,68,-994,115,2987,3287,10177,5906,3295,3015,4781,13894,2973,
利润总额(万元),397180,268932,130351,475649,380235,258254,123281,399079,206303,286461,155458,245020,202751,201738,193996,154822,
净利润(万元),294509,200802,97834,359349,284462,190792,93315,304296,155047,218615,120034,191192,157665,158637,150050,124733,
净利润(扣除非经常性损益后)(万元),285274,193761,92632,344471,274840,183583,89948,284605,--,205625,--,175090,--,--,--,--,
经营活动产生的现金流量净额(万元),159292,96706,76572,229100,165467,117726,61306,192429,81863,95880,33029,145115,108347,81290,-24427,40551,
现金及现金等价物净增加额(万元),32656,329601,14618,-234866,-391705,-196171,-285110,361545,581963,-201498,29807,22765,-139697,325746,44803,-147711,
总资产(万元),5201480,5266013,5345372,4876578,--,4720170,--,4805365,4776704,3828257,3675402,3168183,2895328,2832730,1948833,2623403,
流动资产(万元),2109699,2127365,2206358,1836625,--,1670301,--,1720624,1854947,1311465,1335876,1114593,980630,1033922,373653,607089,
总负债(万元),1981199,2149111,2099810,1934626,--,1997157,--,2299100,2445192,2280002,2245866,1813394,1592807,1590901,1091928,1126403,
流动负债(万元),1157052,1324700,1270271,1306130,--,1006320,--,1314031,1483715,1293993,1194547,1093638,903965,916822,430686,357873,
股东权益不含少数股东权益(万元),2953926,2860527,2992908,2697966,--,2532019,--,2355466,2190230,1423572,1310906,1266444,1217057,1161689,854510,1494793,
净资产收益率加权(%),10.26,6.86,3.56,14.23,11.41,7.81,3.96,15.54,--,16.25,--,15.4,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
