报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,
基本每股收益(元),0.29,0.21,0.08,0.45,0.32,--,0.08,0.38,0.29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.09,--,
每股净资产(元),--,--,--,--,3.75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,-0.03,--,--,--,-0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),5585457,3772058,1800118,7731184,5574302,3649411,1747923,7315751,5442132,2778319,4720678,2185087,957511,4593483,3468107,2339007,1126378,4761377,3422452,2261085,1015481,4796943,3687279,2519832,1178281,4777722,3593866,2316001,992648,
主营业务利润(万元),315058,229249,114931,535362,413116,284300,136588,533404,409568,194005,330963,169172,72097,320614,242646,164150,77918,329969,242494,164320,75176,305926,227630,150798,67484,273870,201644,2175867,57010,
营业利润(万元),258962,177222,71766,431800,292569,207883,75797,376498,269822,146962,231180,123404,47999,204667,159990,113082,47530,162869,127855,78733,38328,150458,116845,75015,29026,122726,103168,49310,21274,
投资收益(万元),96463,62565,29651,259442,89204,61674,23067,194684,114160,72983,134746,66005,29271,113375,79063,55807,20377,89353,72756,44317,14367,66796,47354,27490,11914,69442,48750,24467,9546,
营业外收支净额(万元),3012,4518,1280,-20956,4057,-3215,1278,210,7164,9449,24138,18880,3098,31458,33079,21431,2296,27443,18886,16632,1237,-1819,371,-45,1805,593,5123,--,928,
利润总额(万元),261975,181740,73046,410844,296626,204668,77075,376709,276986,156411,255318,142284,51097,236125,193068,134512,49826,190312,146742,95365,39565,148639,117216,74970,30830,123319,108291,66270,22202,
净利润(万元),211731,151748,58167,270411,193800,129552,47980,230419,173512,98761,162947,96710,37264,149326,126576,87543,34733,123143,101404,64397,25305,84446,71113,44979,14829,64905,65182,38989,10963,
净利润(扣除非经常性损益后)(万元),185113,130827,48643,110588,137473,--,34850,--,98328,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-17077,-47867,-107598,201339,-15623,-106159,-118162,300573,-4830,-14777,170127,27629,-23526,243357,140966,49896,6132,110762,118414,46992,30948,131270,132385,105762,40785,38138,79983,14154,4862,
现金及现金等价物净增加额(万元),-564761,-420273,-288490,560844,-27765,-86368,-94889,38543,1953,-77155,98528,18895,-13551,80119,-83394,-31994,21107,-5446,107422,95648,-8667,-31871,52934,-11163,-17502,7353,110947,65274,114080,
总资产(万元),6014560,6110925,6336845,6149422,6478124,6346937,--,6232620,--,3977585,3759125,3797754,3695076,3530916,3510638,3658583,3351990,3293364,3249914,3198190,3030845,3011914,3062949,3046478,2985069,2951265,3068915,3000934,2884108,
流动资产(万元),2789521,2845265,3111717,3136892,3201813,3035739,--,3007209,--,2209531,2060492,2083201,2001133,1827294,1850774,1823345,1674313,1667525,1827583,1794441,1522198,1534602,1646316,1665148,1563989,1551821,1741764,1672736,1625721,
总负债(万元),3097755,3278934,3477922,3364078,3753490,3705521,--,3649114,--,1917916,1770164,1878973,1792018,1659046,1665157,1742656,1658479,1636844,1646377,1770405,1633407,1643505,1718586,1729663,1666317,1651769,1780052,1764834,1646673,
流动负债(万元),1805957,2084112,1937318,2019588,2321981,2300448,--,2490686,--,1294709,1266228,1633871,1443948,1507379,1332156,1380945,1321992,1307776,1320131,1449255,1365497,1168180,1400139,1417345,1355761,1331333,1473534,1454553,1356209,
股东权益不含少数股东权益(万元),2774270,2701048,2728851,2323640,2267231,2200236,--,2142997,--,1697016,1633601,1595291,1568366,1538527,1526845,1547504,1396992,1368659,1339365,1168797,1142572,1119542,1106689,1082066,1075473,1063349,1060002,1015098,1014681,
净资产收益率加权(%),7.9,5.69,2.2,11.97,8.78,--,2.22,--,8.49,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
