报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.36,0.21,0.1,0.41,0.33,0.24,0.12,0.54,0.44,0.32,0.15,0.76,0.67,0.5,0.23,0.84,0.66,0.8,0.74,0.74,0.57,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,5.48,5.31,--,4.98,--,4.29,3.64,3.04,2.3,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.36,0.24,--,0.62,0.18,0.8,0.36,1.01,0.35,
主营业务收入(万元),23682,15639,7769,29471,21200,14639,7530,28596,21197,14861,7669,28344,20668,14167,7013,25379,--,27341,26895,24401,18945,
主营业务利润(万元),8358,5381,2548,9568,6817,4870,--,9992,7605,5487,2837,11851,8861,6324,3115,11167,--,10913,10541,10066,7658,
营业利润(万元),3518,2055,984,3939,3224,2326,1214,5183,4113,2934,1421,5774,4834,3627,1762,6080,4800,5721,5278,5254,4110,
投资收益(万元),163,85,--,113,113,113,81,715,549,333,178,-15,-47,-31,-24,-57,--,10,14,9,987,
营业外收支净额(万元),-3,-4,-7,7,9,7,10,205,266,254,111,340,278,205,14,284,198,253,294,298,84,
利润总额(万元),3515,2051,977,3946,3233,2333,1223,5388,4379,3188,1532,6114,5112,3832,1776,6364,4998,5974,5572,5552,4194,
净利润(万元),3140,1840,878,3597,2884,2061,1066,4642,3785,2741,1311,5228,4342,3255,1507,5489,4282,5176,4798,4794,3734,
净利润(扣除非经常性损益后)(万元),2730,1642,816,2737,2059,1577,752,3273,2761,2129,1054,4897,4105,3081,1495,5235,4113,4949,4536,4540,2707,
经营活动产生的现金流量净额(万元),3027,1404,677,2752,2592,617,177,4442,4365,1307,-837,3253,2308,1538,-282,4032,1196,5207,2313,6570,2294,
现金及现金等价物净增加额(万元),-901,3027,5944,4409,18617,17225,-8030,-996,-5033,773,-8635,10162,-931,-431,-2004,702,--,-746,-2197,4908,1223,
总资产(万元),80072,78049,79019,78003,77743,76147,76261,73873,73444,70583,71063,69936,43120,42749,--,41300,--,34999,32607,26382,19815,
流动资产(万元),53362,51102,51850,50510,50828,49210,49983,48017,47503,44886,45566,44484,17945,17640,--,17022,--,14302,15902,15521,12501,
总负债(万元),8098,7328,8483,8345,8708,7900,8435,7263,7691,5874,6657,6841,7491,8208,--,8908,--,7122,8930,6646,4873,
流动负债(万元),5970,5131,6215,6008,6600,5784,6257,5024,5477,4307,5036,5167,5765,5428,--,6125,--,4507,7342,5855,4873,
股东权益不含少数股东权益(万元),71657,70357,70132,69254,68541,67718,67677,66610,65753,64709,64406,63095,35628,34542,--,32392,--,27878,23677,19736,14943,
净资产收益率加权(%),4.45,2.63,1.26,5.3,4.27,3.06,1.59,7.18,5.88,4.28,2.06,13.58,12.88,9.78,4.6,18.36,14.58,20.21,22.33,27.65,28.42,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
