报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),1.74,-0.07,0.09,0.87,2.04,0.51,0.62,1.23,1.88,0.23,0.35,1.33,2.11,0.71,0.61,1.33,1.6,0.54,0.34,0.72,0.87,0.12,0.15,0.97,1.21,0.21,0.16,1.47,1.75,0.48,0.16,1.93,1.99,0.89,0.42,1.59,1.36,0.51,0.24,0.76,0.68,0.28,0.15,0.2,0.1,0.15,0.13,0.09,0.17,-0.23,-0.15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.47,5.2,5.28,5.12,5.21,4.11,3.94,3.52,3.29,2.44,2.37,2.13,2.06,1.66,1.51,1.38,1.2,1.24,1.22,1.09,1.04,0.65,0.72,0.77,0.68,0.33,0.5,0.66,1.5,1.44,1.33,1.41,1.53,1.44,1.38,1.38,1.29,1.01,1.21,1.31,1.46,1.46,1.31,1.41,1.42,1.33,1.17,1.02,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.28,1.6,0.44,5.61,4.65,2.08,0.78,4.19,3.09,1.2,0.71,3.29,2.53,1.42,0.62,2.65,1.92,1.12,0.44,1.84,1.82,0.79,0.32,2.65,0,0,0,0.54,0,0,0,1.01,0,0,0,0.76,0,0,0,0.15,0,0.28,0,0.24,0,0.39,--,0,--,--,
主营业务收入(万元),1475785,898907,463438,1876595,1444490,872928,449632,1648471,1256210,755079,385820,1374237,1059110,630975,321904,1210896,928760,571372,286515,1157030,890759,556429,281131,1142716,883357,552471,277984,1099302,841590,507241,238869,966697,729919,432253,203253,729262,534165,313366,149878,536611,392757,234163,115517,504939,375935,242866,123383,463013,340737,198087,93615,419815,299592,180844,82857,289102,207989,118233,50943,222936,168589,103925,46075,172384,118460,68114,38660,159659,122885,82654,34956,131158,57431,104198,46140,79363,50257,--,
主营业务利润(万元),189465,58605,33905,158239,186440,70124,49523,166839,167160,52897,38651,180617,187949,86192,50884,185915,175875,84372,47460,145940,131887,62327,36414,147863,137166,65030,31432,205346,178688,80896,36234,208421,166772,85459,43536,159982,128238,63867,29678,109728,85614,41692,21150,76044,51874,36605,19527,65608,48891,17334,--,59232,42264,15431,7971,27787,31367,17965,2564,42917,35372,20494,8146,34189,20861,1362,3063,26657,23562,15213,1754,27117,12907,25572,10732,21671,10114,--,
营业利润(万元),85939,-6506,3840,42709,104462,23203,32297,61493,96307,8968,14566,54566,98875,26494,27876,57305,77910,24797,16950,20625,35254,-2597,4013,27399,46203,4067,3669,64125,86614,22427,7922,99395,104315,46240,21609,82369,71613,27068,12284,26176,24522,3649,2476,7576,6143,8433,7055,7663,5056,-10712,-6694,1706,-1514,-14099,-6464,-28103,2073,269,-6202,5081,5681,2367,-49,2125,-1128,-12310,-4040,-4254,1857,1634,-4140,7158,5256,14240,5754,11897,4102,--,
投资收益(万元),608,608,7,1803,1805,1719,51,2172,1959,1937,-3,1736,1532,-85,38,3550,-1220,-2018,-1159,-2604,-876,-284,54,1416,1444,49,62,1439,1599,1438,170,855,859,728,206,-172,292,65,94,372,644,483,93,1118,113,113,--,95,94,1,0,1641,850,375,0,94,87,87,0,306,219,220,180,51,29,30,3,-2094,97,92,0,0,0,0,0,0,0,--,
营业外收支净额(万元),5768,2007,714,3442,3348,2907,901,3599,2910,1946,3939,16372,13281,11312,4876,13796,8423,5214,1122,19211,11339,8864,3873,25696,19276,8151,4587,13979,6595,3011,456,3706,1520,948,971,2086,880,346,302,14160,11820,11359,5540,3250,--,-576,--,-1909,--,--,--,223,0,0,0,-250,0,0,0,-1212,0,0,0,19,0,0,0,126,106,90,0,284,0,99,85,0,--,--,
利润总额(万元),91707,-4500,4553,46151,107810,26110,33198,65092,99217,10914,18505,70937,112156,37806,32751,71101,86333,30011,18072,39837,46593,6267,7886,53095,65479,12218,8256,78105,93208,25438,8378,103102,105835,47189,22580,84454,72493,27413,12586,40336,36342,15007,8016,10826,5519,7857,6911,5755,4494,-10718,-6709,4571,580,-13516,-6430,-27259,3206,502,-6134,1161,5946,2616,147,2615,-1073,-12264,-4034,-4848,2060,1816,-4114,7443,5270,14339,5839,11964,4116,--,
净利润(万元),69409,-2736,3406,34738,81661,20373,24893,49035,75225,9009,13871,53283,84477,28369,24510,53226,64019,21681,13562,28785,34709,4673,5923,38908,48526,8237,6200,58981,69938,19102,6285,77123,79614,35419,16945,63436,54359,20557,9439,30228,27247,11251,5920,8098,4105,5864,5167,3726,6642,-8997,-5876,4402,480,-13579,-6454,-27364,3149,467,-6148,1107,5909,2597,156,2653,-1034,-12268,-4032,-4558,1272,1181,-4114,5494,3464,9313,3711,8311,3563,--,
净利润(扣除非经常性损益后)(万元),59453,-6603,2299,13255,64455,6191,18684,38845,66035,3121,11037,40958,74606,20246,21105,38773,58093,18154,12946,14640,26345,-1780,3146,13785,33838,1751,2696,49015,--,17230,--,75164,--,35163,--,62545,--,20319,--,20360,0,3038,0,9244,0,6296,--,5039,0,-8991,--,-4238,0,-13786,0,-28136,0,321,0,1034,0,2569,0,4044,0,-12781,0,-6367,1237,1121,0,4413,3465,9313,--,0,--,--,
经营活动产生的现金流量净额(万元),219698,54408,7268,245002,262790,85890,60702,185442,218723,64915,3651,242706,233174,102450,26990,242446,198428,78158,25112,145983,143909,67785,14382,141119,123782,36937,16820,172632,171278,64149,17665,224505,186081,83332,31155,167508,123420,48161,28219,131735,101348,56674,24867,105983,76997,44610,17438,73457,72583,31453,12739,105928,103020,53387,17494,21783,14005,4423,9667,40413,32664,31211,8090,30316,1166,-4408,-15791,6101,0,11326,0,9554,2468,15729,--,0,--,--,
现金及现金等价物净增加额(万元),-24363,-53677,17006,29728,125593,12835,25070,-24767,100974,-34793,-44222,-62414,54844,-82304,-44820,95466,123193,24463,63945,1622,38728,-14174,2340,28913,37258,16883,16876,-8480,-387,10567,-11728,9158,28503,-1114,3494,9927,4886,4511,7476,440,346,3979,2410,281,9468,4661,-666,-2612,-1359,-232,4878,16,-3665,-839,1648,-1366,8580,9110,14585,40413,-24947,6961,-15226,2450,-16288,-10511,-22034,5768,0,-199,0,4370,7673,14820,--,0,--,--,
总资产(万元),1738149,1688530,1722799,1656398,1656897,1494276,1421987,1335142,1390390,1305489,1258217,1274197,1339386,1267712,1265758,1274890,1280562,1198337,1236529,1211887,1253063,1199278,1168119,1140312,1148736,1157746,1162438,1126134,1080250,1050519,970005,977299,1022089,916836,923706,892380,871400,851463,833207,809640,812926,790018,768456,784410,813978,749047,715465,703969,678577,629540,615063,594331,590546,635795,667389,655117,483485,435514,400163,375803,385141,421863,428829,399625,337553,332130,332653,332791,344329,331207,207181,202789,199324,138198,73918,65992,53284,--,
流动资产(万元),179829,159153,225505,208821,319560,256470,213710,193638,310078,186122,156234,189482,302015,160278,190941,226968,265922,173482,198876,137014,162060,108171,129920,121346,137526,128856,103360,76753,86770,96154,73118,78066,110811,84017,94488,86776,81442,77788,78571,59790,56717,61443,54640,46990,77752,60010,54772,51153,56555,52536,53495,45022,49252,97745,135732,131174,168182,123507,80865,65535,96255,144692,104670,99537,90895,82761,80256,--,0,--,70374,0,0,0,35138,0,33530,--,
总负债(万元),1196480,1220124,1236086,1209265,1161580,1058918,973123,909828,940895,919597,859046,890580,923366,910841,904851,938389,935369,894501,934706,924075,951559,933791,891383,869499,868305,917604,908332,878229,821388,842492,758795,772374,812228,751182,764759,750368,738469,752344,737211,723086,729367,722469,706856,728130,764900,698225,665368,659059,635732,602360,584777,562058,562240,621582,646070,627368,422168,376888,345864,318434,322925,362964,372393,343354,284728,290448,283305,279487,285965,272935,154867,146361,142526,84864,43613,39455,24383,--,
流动负债(万元),577133,609013,552894,552856,508761,446952,431411,431671,461063,493969,424489,437355,460354,441388,395434,399674,377342,335033,359450,383414,328881,334521,288435,310206,313332,332727,300115,268727,324200,359872,355409,355227,387158,351473,360204,338467,322851,309768,301874,282858,281242,270141,275459,296937,302473,292422,279027,268077,260778,259737,247097,237307,256182,289281,314669,287431,259907,174638,180610,147916,178731,222749,286396,248836,188350,185770,177141,--,0,--,98371,0,0,0,43613,0,16144,--,
股东权益不含少数股东权益(万元),541669,468406,486714,447133,495318,435357,448864,425314,449495,385892,399170,383617,416019,356871,360907,336501,345192,303836,301824,287812,301504,265487,276737,270814,280431,240142,254106,247906,258863,208027,211210,204924,208566,164371,157611,140666,131589,97787,94669,85229,82248,66252,60311,55001,47802,49565,48864,43696,41507,25867,28989,30988,27067,13008,20132,26587,60172,57490,53159,56234,61095,57783,55342,55186,51780,40546,48501,52533,58364,58272,52314,56428,56798,53334,30306,26537,28901,--,
净资产收益率加权(%),14.49,-0.61,0.76,7.94,17.64,4.68,5.69,12.19,18.03,2.32,3.55,14.88,22.5,8.09,7.03,17.22,20.3,7.32,4.6,10.33,11.96,1.71,2.16,15.08,18.31,3.3,2.47,26.36,30.28,9.13,3.02,45.05,45.81,22.94,11.36,56.84,50.35,22.14,10.49,43.11,0,18.56,0,15.89,0,12.58,--,8.9,0,-29.63,--,15.29,0,-68.59,0,-66.82,0,0.79,0,7.2,0,4.6,0,4.93,0,-26.36,0,-8.42,0,2.07,0,9.8,6.29,25.47,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
