报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.57,0.41,0.24,1.37,1.01,0.67,0.47,1.65,1.14,0.76,0.46,0.95,0.6,0.38,0.17,0.44,0.4,0.32,0.26,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,4.97,--,4.4,--,4.07,3.68,3.28,2.96,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,0.91,--,0.08,--,0.7,0.48,0.15,-0.51,
主营业务收入(万元),214476,144822,75434,340500,263636,185294,97237,309508,224411,158058,82042,171084,96206,55856,23951,90211,78917,69524,55032,
主营业务利润(万元),44727,31069,17058,74566,59746,42117,20963,74351,53585,36579,17162,41189,24460,15701,6866,22743,21289,20421,15075,
营业利润(万元),14424,10369,6052,32671,27795,17964,9268,31267,19916,12706,6848,13809,7997,5070,2451,7051,5744,5386,3802,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),-50,10,30,-20,476,395,289,-1886,564,504,41,-860,371,314,70,-662,13,-502,24,
利润总额(万元),14375,10379,6082,32650,28271,18359,9557,29381,20481,13210,6890,12949,8368,5384,2520,6389,5757,4884,3827,
净利润(万元),13067,9292,5447,28204,22799,15204,7631,25017,16979,10892,5543,11367,7156,4568,2064,5257,4749,3866,3052,
净利润(扣除非经常性损益后)(万元),12175,8980,5297,26562,22411,14877,7397,24489,16519,10481,5509,11025,6860,4319,2005,4951,4543,3808,2654,
经营活动产生的现金流量净额(万元),-17819,-9610,4906,49139,44726,44656,16321,2828,783,-2846,-748,10890,6157,945,-304,8392,5797,1769,-6155,
现金及现金等价物净增加额(万元),-17104,-13497,-14360,46109,39338,56934,25614,4170,13113,18419,46131,2746,678,-982,-2352,3133,1655,-61,-461,
总资产(万元),441763,422392,400677,390834,405529,414854,351466,311865,266146,248653,266403,199873,--,140307,--,129051,117593,100505,88411,
流动资产(万元),289258,277970,265043,262868,284994,301541,247813,216924,190357,180096,202463,139237,--,89191,--,78900,73964,60568,50416,
总负债(万元),278094,263671,236834,229569,245723,263116,209411,177772,140656,129250,152680,140464,--,87698,--,80412,73613,61273,53046,
流动负债(万元),222895,217411,197097,190518,207823,225663,204876,173201,135278,124021,146965,134590,--,83123,--,79168,72313,59721,48566,
股东权益不含少数股东权益(万元),160495,156607,163844,161265,159806,151738,142055,134093,125490,119403,113723,59409,--,52609,--,48639,43980,39231,35365,
净资产收益率加权(%),8.22,5.92,3.36,19.04,15.68,10.88,5.53,22.52,16.91,11.59,8.84,21.14,13.92,9.06,4.15,11.39,11.41,10.37,22.64,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
