报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),-0.05,-0.02,0,-0.18,-0.06,-0.04,-0.01,0.04,0,0,0,0.01,-0.06,-0.03,0,0.01,0,0.01,0,-0.24,-0.05,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.04,0.06,0.07,0.05,0.27,0.22,0.14,0.07,0.2,0.16,0.12,0.04,0.06,0,0.01,0.01,-0.28,0.01,0,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.53,--,1.53,1.53,1.53,1.52,1.55,1.55,1.54,1.48,1.36,1.29,1.22,1.15,1.07,1.03,0.95,0.91,0.85,0.86,0.86,0.85,1.16,1.16,1.16,1.18,1.3,1.3,1.29,1.29,1.3,1.27,1.27,1.26,1.27,1.26,1.24,1.24,1.51,1.54,1.53,1.52,1.54,1.51,1.48,1.51,2.17,2.11,2.04,1.97,1.99,1.88,1.76,1.06,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.16,--,0.26,0.13,0.09,0.38,0.21,0.12,0.07,0.4,0.1,0.1,0.06,0.55,0.62,0.41,0.19,0.13,0.16,0.06,0.06,0.12,0.03,0.04,-0.02,0.08,0,0,0,0.32,0,0,0,0.4,0,0,0,0.18,0,0,0,-0.1,0,0.01,--,-0.01,0.05,0.04,-0.03,0.08,--,--,--,--,--,--,--,
主营业务收入(万元),262035,189609,107552,367270,293748,225474,125392,488868,341008,249360,134854,460454,334526,226860,111301,471760,363983,264901,134129,458543,366991,280367,150940,540687,419438,295988,155576,558187,421177,296267,166047,583898,462090,329376,180049,617023,458813,334310,176013,552706,410591,268669,121240,384534,304242,209398,100716,347051,265342,182892,92184,296804,222993,155095,79817,266198,202053,139539,69639,223075,160697,109659,59738,213938,170187,126772,64159,244293,177527,123006,61146,232971,161607,317936,174969,283225,167898,297544,159094,146350,265140,245441,132594,
主营业务利润(万元),21095,15850,9382,17921,14714,11773,6870,23381,17236,13360,8186,28489,19027,15207,8896,38945,27630,20766,9370,29776,27130,21843,12532,44179,31552,21948,10993,43157,30934,21108,12345,49145,38546,28563,17608,75042,56065,40892,21488,67659,48120,32389,14129,34613,23741,16139,7151,30226,25458,18130,--,25955,18682,13583,7307,25715,17742,11857,5911,19783,11913,7497,3984,21368,17305,12604,6739,22971,19158,13262,6105,20431,16206,39110,19577,30501,18625,43664,22481,20470,15357,18121,2611,
营业利润(万元),-2239,69,1422,-20604,-1228,-1299,248,-4646,-6846,-1305,1315,-9155,-3596,-1518,1021,2589,1005,1335,987,-18216,-2254,2305,1654,2343,781,1022,308,3494,2981,2101,1959,9448,10310,9750,7029,29214,24139,17335,8785,17412,15195,10272,5275,6741,2473,2411,441,-17725,2326,1513,670,-1661,866,917,543,1632,1208,783,362,-271,25,13,307,-18911,-2349,451,67,-16076,-2254,-1468,-1678,-28634,5338,7457,3414,6478,7049,17533,11521,7164,16575,18192,2651,
投资收益(万元),--,--,--,--,--,--,--,--,-75,--,--,-4,--,--,--,266,266,266,266,--,--,--,--,-15,-15,-15,-15,--,--,--,--,-481,-124,-124,-0,1155,3,5,6,-42,-33,-22,-11,2502,-143,-137,65,-6489,-746,-704,-89,-2728,-52,-136,-68,158,220,285,211,991,765,598,-13,1409,508,324,165,12630,1748,799,0,-6488,31,1918,713,2264,744,258,172,172,-131,-20,219,
营业外收支净额(万元),167,202,-15,-14,96,136,112,9627,11324,4461,47,15838,489,428,235,2488,2203,2055,265,601,434,271,220,1967,1558,1436,1053,512,489,211,152,445,144,254,208,1656,413,113,7,2329,2790,2713,-93,600,--,316,--,--,--,97,--,-1560,0,0,33,275,0,0,0,267,117,0,0,-2818,0,73,57,427,977,946,0,-1348,0,146,0,-220,0,0,0,--,150,-332,11,
利润总额(万元),-2073,271,1407,-20618,-1132,-1163,360,4981,4478,3156,1362,6684,-3107,-1091,1256,5076,3209,3390,1252,-17615,-1820,2576,1874,4310,2339,2458,1361,4006,3470,2312,2111,9893,10454,10004,7237,30870,24552,17447,8792,19741,17984,12984,5182,7341,2977,2727,915,-17354,2439,1610,706,-5947,991,887,509,2085,1455,1144,507,987,907,661,325,-20320,-1628,930,353,-2995,478,277,-1763,-36071,5437,10705,4749,8521,8080,18293,11689,7331,16669,17839,2951,
净利润(万元),-2976,-986,246,-11766,-4142,-2442,-513,2809,240,306,273,607,-3793,-2049,227,857,302,950,185,-15249,-2878,706,339,524,195,774,437,734,410,222,657,2355,3913,4395,3422,17308,13905,9248,4452,13043,10137,7659,2841,3660,137,696,516,-18044,364,304,514,-6109,814,674,429,879,709,566,302,641,837,602,256,-19091,-1802,657,173,1935,190,42,-1765,-34418,4545,8561,4006,8095,7079,15762,10217,6235,14231,14655,2522,
净利润(扣除非经常性损益后)(万元),-3520,-1366,186,-24007,-8984,-4437,-1057,-18793,-7217,-2536,248,-9778,-4419,-2410,7,-1606,-1836,-1104,-252,-15673,-3139,543,176,-1177,-1229,-581,--,377,--,61,--,2306,--,4167,--,14664,--,9145,--,12844,--,4959,0,620,0,408,--,-18335,0,164,--,-4960,0,591,0,-1554,0,290,0,-3539,0,552,0,-20022,0,502,0,-10090,-1268,-1385,--,-34818,3864,6831,4006,6034,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),17168,19812,15715,8954,-1775,-18167,-8276,4357,-6803,6607,6769,26752,12059,1502,8772,35931,10720,16512,4097,-890,2172,4330,-5309,32197,11105,15953,10273,23644,16515,8021,5487,24338,13727,7562,4284,25764,6245,6256,3572,35082,39457,26406,12451,8086,10047,3886,3675,7756,2026,2454,-1348,5330,10890,9347,7271,20198,11478,9060,8008,25455,7030,2931,6573,11427,1813,-1835,-2930,-6108,0,373,--,-841,2938,2539,-1718,4806,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-14548,-8721,18839,-24219,-4016,3238,14703,12977,15782,7021,15054,1554,-4960,-4880,4651,4050,-3574,-224,2768,-6544,-7917,-10665,-8298,3275,-10860,-3122,-2057,-3384,-5423,-9853,-3731,-2323,-20496,-24662,-20139,3904,-13149,-3592,-1819,17074,23194,10846,10842,4310,3162,-323,2476,-1650,1909,-3889,-1711,-2139,429,517,781,4770,3950,2333,5921,-2320,17186,17056,31993,-13729,887,7468,13129,-45254,0,-19572,--,6825,-6134,-931,-8237,1494,--,--,--,--,--,--,--,
总资产(万元),481975,483460,523163,486322,523562,529683,531631,507879,451313,450434,467712,423901,421031,410291,431091,410854,409701,412284,425146,404691,391137,399027,423997,410517,421071,422244,434956,401128,425760,419424,428010,411731,377699,360397,378180,387006,350715,342903,337200,305047,273354,265923,274023,238707,240100,236076,233276,232884,255293,235675,256669,239062,233944,236201,241152,238439,229379,226417,257809,250806,245817,244537,259607,271954,322386,317276,362499,341513,335072,325950,319971,328993,355161,364203,362236,319113,309608,327493,270539,205354,156710,125435,69346,
流动资产(万元),265870,271038,312908,277020,317391,330787,346408,325448,261313,279335,304514,261299,238380,228329,248220,226022,225262,227347,237725,213036,207861,213757,237280,223357,234297,235156,245845,212819,238950,240529,248158,231046,206296,191085,214440,231443,232410,209422,209780,179580,153516,149225,159572,124192,123631,119165,115341,115062,132302,111758,129269,108929,101013,101591,107164,104437,101776,103112,140638,130461,130252,135341,149595,164085,212362,206418,254029,--,--,--,222278,0,0,0,275828,0,231987,248349,203905,144855,94026,72395,26855,
总负债(万元),384434,383466,416247,380039,392164,398123,397366,373156,319512,319239,336528,293728,296713,283886,301681,282282,282487,284557,298809,279188,248777,252176,277929,265653,276978,277947,290957,257197,280557,273553,279635,265051,242877,225572,241854,257169,236355,235150,235242,209953,195004,190135,203667,170607,175694,171687,172371,172521,170461,151587,172529,155523,143760,146199,151390,149179,139596,138607,170335,164130,161712,160829,177721,190317,221534,213289,260308,239674,231945,226035,221818,229081,210714,225138,229494,192038,182098,207067,157706,151191,109182,92842,50893,
流动负债(万元),319175,321129,356355,323644,326203,329157,338677,332442,287666,299807,313876,280320,278489,266004,285037,264760,263278,264403,277434,256362,237555,242050,267759,255440,266716,267628,281968,248165,271442,264394,270436,255918,232780,216701,226936,236175,209648,210293,209385,182596,170274,165405,194177,170607,173017,169010,165937,169844,161300,143273,167203,150911,134840,135407,142610,147110,123953,120363,159266,158719,142396,146287,167799,180795,203467,195245,244961,--,--,--,199652,0,0,0,218598,0,176291,204787,150382,149370,99747,84179,45098,
股东权益不含少数股东权益(万元),70829,72806,75570,75315,82950,84655,86581,87083,84597,84655,84606,84325,80046,81761,84007,83777,83227,83910,83192,83020,95344,98954,98616,98244,97944,98492,98162,97663,97918,97788,98010,97352,98931,99412,98314,94819,87227,82568,77771,73320,68309,65831,61012,58172,54675,55234,55051,54531,74136,74083,74312,75797,83187,83065,82825,82410,83274,81438,81174,80872,81111,80877,79356,79100,96388,98848,97700,97472,98621,96490,94675,96428,138895,134863,130255,125888,127173,120094,112834,54162,47298,32503,18095,
净资产收益率加权(%),-4.03,-1.32,0.33,-14.49,-4.87,-2.84,-0.59,3.27,0.28,0.36,0.32,0.72,-4.63,-2.48,0.27,1.03,0.36,1.14,0.22,-16.83,-2.97,0.72,0.34,0.53,0.2,0.79,0.45,0.75,0.42,0.23,0.67,2.45,4.04,4.53,3.54,20.91,17.32,11.87,5.89,20.11,--,12.35,0,6.49,0,1.27,--,-28.39,0,0.41,--,0,0,0.81,0,1.09,0,0.7,0,0.8,0,0.74,0,-24.14,0,0.67,0,2.02,0,0,--,-30.14,3.33,6.58,0,6.43,--,18.09,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
