报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.64,0.44,0.15,0.66,0.47,0.27,0.09,0.44,0.34,0.21,0.17,1.03,0.79,0.27,0.16,1.22,0.88,0.77,0.88,0.8,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,4.33,--,--,3.94,2.99,4.25,3.17,2.49,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,1.11,--,--,1.34,0.62,1.04,0.64,0.52,
主营业务收入(万元),62355,42992,22124,79408,48644,29877,13817,48979,36279,23085,11016,42104,31555,20677,8422,50216,41112,34770,23852,16345,
主营业务利润(万元),20583,14482,6876,26551,15212,9297,4490,16839,12531,7765,3823,14760,11013,6811,2598,17944,13738,12713,7906,6897,
营业利润(万元),17071,11716,4122,18191,12376,7188,2371,11680,9001,5489,2476,11522,8696,5298,1814,13469,9767,8470,5333,4559,
投资收益(万元),1208,1033,829,816,1108,754,340,1470,1114,547,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),-6,41,-5,-358,81,16,165,-50,81,64,27,260,221,126,--,235,149,171,199,127,
利润总额(万元),17065,11757,4117,17833,12457,7204,2535,11631,9082,5553,2503,11781,8917,5423,1814,13703,9915,8641,5532,4686,
净利润(万元),14820,10200,3493,15273,10779,6237,2153,10011,7822,4792,2127,10140,7577,4608,1542,11644,8426,7342,4706,3919,
净利润(扣除非经常性损益后)(万元),12781,8372,2741,14370,9519,5375,1738,8664,7753,4723,2104,9919,7389,4502,1542,11445,8299,7197,4538,3812,
经营活动产生的现金流量净额(万元),15897,10632,10439,4120,7237,3006,1967,13392,9948,5109,1284,15649,10677,5423,1713,12815,5962,9993,3431,2763,
现金及现金等价物净增加额(万元),17907,13701,20878,43828,13957,-351,37961,-72279,-47174,-64894,-63220,68263,3168,-5,1563,8183,-4035,6776,1618,631,
总资产(万元),144894,144894,149567,147989,142611,138186,131409,126372,121890,117180,120844,117129,49178,--,--,47107,37635,28954,21783,16574,
流动资产(万元),115742,115712,119601,117786,113180,110500,104032,99512,96602,94308,99191,98517,33797,--,--,34985,25685,23482,16458,11497,
总负债(万元),15513,20057,23139,25621,24760,24847,16978,14068,12565,10886,12359,10770,7705,--,--,9378,8963,6312,4885,3319,
流动负债(万元),13826,18303,20392,23741,22722,22694,14751,12215,12355,10684,12137,10533,7439,--,--,9063,8883,6192,4725,3319,
股东权益不含少数股东权益(万元),128267,123648,125220,121727,117172,112622,113633,111514,109324,106295,108485,106358,41473,--,--,37729,28672,22642,16897,13256,
净资产收益率加权(%),11.72,8.04,2.83,13.1,9.31,5.44,1.91,9.19,7.34,4.41,1.98,22.64,19.66,12.3,4,36.01,33.82,37.64,31.4,36.7,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
