报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.78,0.59,0.3,1.19,0.92,0.65,0.27,0.88,0.44,0.27,0.04,1.26,0.9,0.66,0.08,2.34,2.07,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,6.64,--,5.98,3.63,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,0.4,--,1.09,2.18,--,--,
主营业务收入(万元),78679,57980,28732,105228,84714,56063,24068,78557,50326,30583,10307,56825,38139,26336,4715,66817,52101,28359,1103,
主营业务利润(万元),19923,13564,6395,26065,20831,15530,7354,17390,9034,5935,1963,18545,14192,10080,2472,29183,23942,8328,201,
营业利润(万元),9672,7251,3775,14994,12221,8732,3407,10324,4899,2872,456,11443,8135,5935,725,21823,19595,5492,-163,
投资收益(万元),1098,712,305,2515,1939,1076,406,2114,1280,624,114,--,--,--,--,--,--,--,--,
营业外收支净额(万元),5,2,-1,-39,-3,-2,1,2,125,53,11,143,41,39,34,-29,-191,106,-0,
利润总额(万元),9676,7253,3774,14955,12219,8730,3407,10327,5024,2925,467,11585,8176,5973,759,21794,19404,5599,-163,
净利润(万元),8323,6344,3205,12685,9977,6996,2958,9200,4513,2792,433,10118,7237,5266,660,18704,16575,4156,-149,
净利润(扣除非经常性损益后)(万元),7161,5343,2582,10336,8322,6106,2587,7311,3317,2169,423,9974,--,5226,631,18694,16578,3959,-149,
经营活动产生的现金流量净额(万元),8073,2993,-7237,-33441,-28025,-18432,-8595,1090,-712,138,-2918,8015,5787,3197,-2881,8710,17449,2495,-3050,
现金及现金等价物净增加额(万元),5576,-2173,-2463,-21621,-23564,-19303,-22279,26507,8797,7327,50268,-1943,-3251,-315,-2182,2830,907,781,-81,
总资产(万元),295616,278774,282794,259448,228989,229789,206846,202457,196448,179613,174761,93623,--,91945,--,83828,50711,21066,5998,
流动资产(万元),157368,154953,163295,167037,142436,152180,136482,133598,126221,114735,116676,36788,--,38368,--,37007,15263,13551,3163,
总负债(万元),103769,89017,94823,73263,47139,51179,33135,31742,30351,15086,11301,33322,--,36385,--,33162,21631,11183,2751,
流动负债(万元),94557,79766,85041,70413,43108,47120,32077,30656,29259,13967,10140,16366,--,12753,--,17997,10475,6663,2751,
股东权益不含少数股东权益(万元),186568,184427,182626,180826,178549,175340,171966,169009,164252,162532,161234,57969,--,53118,--,47852,29080,9883,3247,
净资产收益率加权(%),4.53,3.62,1.69,7.24,5.72,4.05,1.73,5.86,2.98,1.93,0.24,19.12,--,10.43,0.65,48.67,84.14,57.85,-12.06,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
