报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.33,0.2,0.17,0.66,0.51,0.37,0.24,0.98,0.7,0.51,0.28,1.26,0.95,0.68,0.25,1.47,1.1,0.82,0.33,1.36,1.11,0.85,0.51,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,10.14,--,--,6.37,--,--,5.76,4.86,4.12,3.27,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,0.07,--,--,0.75,0.3,--,1.57,0.71,0.66,0.21,
主营业务收入(万元),45707,30430,16350,50720,35634,23967,10982,37562,26872,17888,8073,30128,20528,14279,6265,29398,21499,15463,6695,28985,27737,21024,14900,
主营业务利润(万元),14145,9382,4909,16231,11527,8165,3636,13828,9685,6721,2974,11520,8234,5749,2395,10672,7895,5713,2449,10072,9420,7074,4982,
营业利润(万元),5509,3779,2030,7688,5906,4371,1847,7596,5434,3989,1672,7299,5224,3628,1533,6637,5030,3609,1406,6119,5301,4103,2329,
投资收益(万元),1177,594,339,820,647,369,83,692,397,345,120,505,128,66,--,101,68,66,13,37,--,--,--,
营业外收支净额(万元),566,2,3,12,136,-1,22,92,279,251,142,88,98,24,8,212,55,181,152,271,89,16,3,
利润总额(万元),6075,3782,2033,7700,6042,4370,1870,7687,5713,4240,1814,7386,5322,3653,1541,6849,5085,3790,1557,6390,5389,4119,2332,
净利润(万元),5198,3241,1744,6617,5181,3725,1582,6581,4728,3450,1487,6460,4763,3344,1347,5877,4416,3285,1324,5422,4447,3406,1979,
净利润(扣除非经常性损益后)(万元),4584,2618,1627,5588,4541,3326,1409,5708,4203,2989,1277,5959,4573,3268,1339,5615,4316,3079,1160,5114,4372,3391,2054,
经营活动产生的现金流量净额(万元),12208,14760,2988,2749,3555,1920,883,5509,1148,-547,219,3346,2186,396,616,5327,2993,1191,154,6281,2840,2650,850,
现金及现金等价物净增加额(万元),587,5148,-769,-8080,-6995,-7838,-8433,1564,-5479,-2485,1263,1498,-4023,4290,19505,1908,-2320,-1198,-4540,4376,-441,1576,955,
总资产(万元),117445,112204,107964,94248,88384,74688,74511,70987,68358,67519,68664,68389,62687,60701,60547,33883,32446,--,--,28804,25708,22032,18719,
流动资产(万元),51958,48340,49161,51483,45641,47859,49441,46617,44201,44373,49481,48522,41898,46394,46796,22712,21887,--,--,19671,16015,12902,9560,
总负债(万元),42621,39957,34465,22764,18249,10964,9578,7619,6854,7296,7733,8947,7130,6562,5736,6791,6816,--,--,5590,6123,5546,5639,
流动负债(万元),38026,35362,29054,17354,17483,10197,8812,6852,6088,6530,6947,8181,6363,5796,4970,6025,6050,--,--,4824,5357,4779,4872,
股东权益不含少数股东权益(万元),67827,65269,66574,64496,63003,61547,62774,61192,59314,58035,58742,57255,55557,54138,54811,26932,25472,--,--,23056,19433,16487,13081,
净资产收益率加权(%),7.84,4.44,2.59,10.58,8.32,5.76,2.55,11.24,8.13,5.94,2.56,12.74,9.77,7.29,4.88,23.99,18.45,13.86,5.58,26.27,25.47,23.04,16.74,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
