报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.05,0.04,0.02,0.04,0.06,0.04,0.05,0.31,0.27,0.21,0.09,0.59,0.37,0.25,0.09,0.53,0.49,0,0,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,3.08,2.98,--,--,--,2.4,1.87,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.14,0.6,--,--,-0.08,0.78,0.43,--,--,
主营业务收入(万元),34554,22303,12041,51345,38393,24842,11852,41114,24447,15200,7106,34392,24019,15272,6609,33576,35240,33893,25812,
主营业务利润(万元),12473,7638,4187,15690,12015,7694,3756,12433,8375,5692,2511,11353,7887,5226,2245,10580,11123,9317,6289,
营业利润(万元),201,246,324,2416,3367,1926,975,4359,3305,2337,1059,5699,3834,2525,955,5491,5284,4233,2600,
投资收益(万元),-244,35,-288,16,86,-11,--,9,--,--,--,--,--,--,--,--,-67,--,--,
营业外收支净额(万元),94,112,50,49,8,11,-8,83,43,56,-21,711,173,189,6,315,209,139,149,
利润总额(万元),295,357,374,2466,3375,1937,967,4441,3347,2393,1038,6410,4007,2714,961,5805,5493,4372,2749,
净利润(万元),1208,856,556,996,1385,914,575,3353,2800,2014,842,5281,3350,2261,770,4773,4442,3601,2295,
净利润(扣除非经常性损益后)(万元),759,514,488,8,801,659,475,2558,2764,1966,860,4676,--,2101,765,4506,4479,3490,2170,
经营活动产生的现金流量净额(万元),1077,6527,1392,4105,-2264,-5315,-4019,-8259,-3864,-3350,-1280,5443,2458,2398,-762,6976,3827,4308,3297,
现金及现金等价物净增加额(万元),-10820,-14081,2265,-7647,-12416,-2257,-6909,20973,8315,15900,-2974,2200,334,1284,-1611,-1093,2337,520,2194,
总资产(万元),124019,117343,129657,128081,123154,117006,105126,108453,83116,64362,42832,43931,--,--,--,33407,24354,21013,15959,
流动资产(万元),55798,49739,63041,62461,58914,64655,57613,61168,42642,39564,18137,19802,--,--,--,15520,17124,15167,13075,
总负债(万元),63045,56763,69874,69098,63565,60530,48755,53556,28089,12477,14087,16056,--,--,--,10993,6868,7851,6464,
流动负债(万元),52674,45704,57694,55842,56274,53415,44234,46601,24014,8364,9101,10699,--,--,--,9793,5710,7735,6308,
股东权益不含少数股东权益(万元),59789,59390,58612,57746,53366,51348,51796,50779,51571,50785,27690,26848,--,--,--,21567,16794,12469,8862,
净资产收益率加权(%),2.06,1.46,0.96,1.91,2.69,1.66,1.13,7.82,8.67,6.39,3.09,21.82,--,9.89,3.51,24.89,30.84,33.76,29.75,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
