报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.37,0.21,0.07,1.08,0.8,0.41,0.12,0.79,0.53,0.89,0.32,1.75,0.39,0.68,0.23,1.13,0.74,0.56,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,1.04,--,--,--,1.41,0.78,0.69,0.68,
主营业务收入(万元),65571,38156,18995,131110,100185,59788,25997,99641,69402,43703,18672,75337,52471,32896,13618,59016,51935,41404,33005,
主营业务利润(万元),21726,12701,5928,47828,36614,20521,8904,39255,27295,17171,7055,28758,19961,12215,4987,21840,18203,14485,12084,
营业利润(万元),10445,6017,1875,32327,24392,11943,3361,22183,15308,9311,3062,15668,10092,5878,2025,9901,6063,4414,3157,
投资收益(万元),72,72,-25,89,8,8,8,202,143,51,--,-88,-78,-50,-156,346,--,--,--,
营业外收支净额(万元),-23,-18,-9,-115,-15,-10,-5,28,-2,-1,42,773,676,532,96,506,387,557,308,
利润总额(万元),10422,5999,1866,32212,24378,11933,3356,22211,15306,9310,3104,16442,10768,6410,2121,10407,6450,4971,3465,
净利润(万元),9575,5414,1768,27530,20422,10541,2943,19622,13135,8049,2549,13812,9038,5360,1791,8930,5557,4182,3127,
净利润(扣除非经常性损益后)(万元),9256,5201,1653,26922,20052,10330,2852,18757,12615,7754,2511,13273,--,5042,1742,8101,5125,3642,2826,
经营活动产生的现金流量净额(万元),30515,26731,15366,16835,6989,1310,1966,10864,11131,8263,1119,8236,5192,3545,775,11143,6147,5205,3389,
现金及现金等价物净增加额(万元),4942,7746,10811,13012,577,-1520,4154,17533,13412,13782,74009,814,-828,-248,4326,-4658,5962,2443,-2059,
总资产(万元),204015,198668,203928,211429,196193,178857,169679,156297,150275,145830,189577,114259,--,--,--,85710,79924,60076,55240,
流动资产(万元),99661,96122,105474,115640,106936,94637,88425,77748,71900,72616,121731,47893,--,--,--,37867,42743,30958,30934,
总负债(万元),45752,42108,45752,55797,47684,37708,32066,21648,22159,18707,68296,59130,--,--,--,42051,45217,35533,44301,
流动负债(万元),19656,18497,25216,36781,36612,30676,25890,17903,18857,15773,51164,41958,--,--,--,30726,43400,33810,42388,
股东权益不含少数股东权益(万元),158263,156560,158175,155632,148509,141149,137613,134650,128116,127123,121281,55129,--,--,--,43660,34707,24542,10939,
净资产收益率加权(%),6.05,3.45,1.13,18.98,14.32,7.61,2.16,17.38,12.62,8.85,4.51,28.42,--,11.97,4.02,22.8,20.34,25.86,33.35,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
