报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,
基本每股收益(元),0.17,--,0.04,0.22,0.11,--,0.14,0.06,
每股净资产(元),2.26,--,2.13,15.98,--,--,9.99,5.47,
每股经营活动产生的现金流量净额(元),0.02,--,-0.04,1.32,0.09,--,0.8,0.74,
主营业务收入(万元),31344,21028,8946,41127,25461,17322,31677,20092,
主营业务利润(万元),19206,--,5571,23905,14899,--,18313,11421,
营业利润(万元),7127,4454,1707,8542,4407,3323,4919,1591,
投资收益(万元),354,--,52,-41,3,--,139,--,
营业外收支净额(万元),2,--,-0,-262,-4,--,-45,347,
利润总额(万元),7129,4449,1707,8280,4404,3321,4875,1938,
净利润(万元),6377,4135,1612,7624,4137,3143,4588,1706,
净利润(扣除非经常性损益后)(万元),5545,--,1487,7496,3889,--,4352,1412,
经营活动产生的现金流量净额(万元),654,320,-1366,6399,2937,1547,3577,2973,
现金及现金等价物净增加额(万元),-4590,-5280,-13134,10347,-7257,-5482,6099,691,
总资产(万元),91884,91706,86931,87837,--,--,52492,38419,
流动资产(万元),58047,--,55041,56582,--,--,29977,20915,
总负债(万元),8529,10592,8353,10552,--,--,7889,16405,
流动负债(万元),8527,--,8353,10552,--,--,7876,16405,
股东权益不含少数股东权益(万元),83355,81113,78578,77285,--,--,44602,22015,
净资产收益率加权(%),7.95,--,2.07,15.74,8.86,--,11.45,8.06,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
