报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.11,0.09,0.05,0.19,0.16,0.11,0.05,0.16,0.15,0.11,0.05,0.23,0.21,0.16,0.1,0.29,0.24,0.21,0.28,0.25,0.25,0.21,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.95,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.99,--,--,1.15,1.15,0.9,0.82,
主营业务收入(万元),80276,56587,31713,111717,82299,56802,31208,110540,83346,58242,32310,109015,82804,58303,33181,123796,95016,66456,132565,131865,124538,111210,
主营业务利润(万元),15896,11756,6932,25195,17394,11996,6583,23666,16473,11282,6399,23134,17550,12854,7184,27662,21333,15265,27557,28648,27870,24124,
营业利润(万元),4448,3498,2208,8840,6571,4357,2258,7451,4729,3388,2267,6889,5985,4420,2543,7817,6964,6155,8948,7384,7343,5487,
投资收益(万元),543,244,139,1227,909,808,219,919,886,630,283,928,672,154,131,132,106,106,242,-119,331,168,
营业外收支净额(万元),56,182,22,-710,46,29,-45,271,1428,1034,116,1495,1000,757,674,1687,526,577,554,1464,1274,1263,
利润总额(万元),4504,3679,2230,8130,6618,4386,2213,7722,6157,4422,2383,8385,6985,5177,3217,9504,7490,6733,9503,8848,8617,6749,
净利润(万元),3360,2723,1570,5888,5086,3480,1566,5074,4726,3430,1592,6284,5288,3906,2447,6889,5625,5021,6580,5853,6009,4917,
净利润(扣除非经常性损益后)(万元),2452,2126,1328,4886,3916,2983,1414,4001,4395,3287,1475,6200,5180,3836,2444,6680,5533,4738,5803,5262,6075,4517,
经营活动产生的现金流量净额(万元),12490,9541,6552,20217,15578,6868,9067,20673,15907,12406,4436,17618,17676,10287,7140,23398,18570,14141,27138,27315,21268,19525,
现金及现金等价物净增加额(万元),-8290,-8400,289,8919,1417,3499,2913,-12523,-2368,-18101,-23633,17824,5776,-4415,-3724,6470,1917,1051,11595,-4013,244,415,
总资产(万元),201679,203122,205680,195785,190426,186306,190929,185492,180435,180260,179387,176489,174968,145142,--,145602,--,--,136641,152328,150591,161694,
流动资产(万元),63934,65123,69237,68544,68894,63807,69422,66537,63708,66486,70426,70373,71922,46353,--,47993,--,--,40165,47043,50763,49013,
总负债(万元),88054,90099,91957,83516,78978,76543,81438,77492,72736,73871,72913,71472,72575,71153,--,74974,--,--,73461,96256,101842,120043,
流动负债(万元),74701,77413,79113,71284,66617,66358,71171,68059,63551,64665,64085,62621,64552,62110,--,64886,--,--,63014,84761,83724,100644,
股东权益不含少数股东权益(万元),112689,112023,112761,111258,110501,108844,108581,107096,106852,105553,105633,104233,101598,73200,--,69876,--,--,62491,55430,48086,40796,
净资产收益率加权(%),3,2.44,1.4,5.39,4.67,3.22,1.45,4.75,4.48,3.27,1.52,7.44,6.77,5.46,3.44,10.41,8.63,7.74,11.16,11.31,13.56,11.37,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
