报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),-0.97,0.1,-0.2,0.3,0.33,0.61,-0.17,1.6,0.41,0.57,-0.14,1.45,0.06,0.51,--,--,
每股净资产(元),--,--,--,--,--,--,11.53,11.7,--,10.67,--,10.43,9.3,4.28,3.84,0.82,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,-0.73,-3.28,--,-2.31,-1.35,-2.61,-1.36,-2.14,-2.36,0.07,
主营业务收入(万元),24471,16258,575,49331,50721,42846,4414,90007,53716,41440,5776,65352,13383,35227,4215,101,
主营业务利润(万元),5754,5652,-140,16773,19523,16523,1830,23673,12820,9751,1326,19393,3264,10224,1524,68,
营业利润(万元),-8982,881,-1565,2847,2645,4429,-1063,8808,3031,3733,-899,9087,316,3021,619,-150,
投资收益(万元),85,85,79,382,279,20,--,--,--,--,--,--,--,--,3,--,
营业外收支净额(万元),17,9,10,-41,2,16,67,196,44,318,100,362,21,455,15,103,
利润总额(万元),-8964,890,-1556,2805,2648,4446,-996,9004,3076,4052,-799,9449,337,3476,634,-47,
净利润(万元),-7617,794,-1603,2121,2253,3810,-996,9426,2437,3367,-799,8187,343,2635,544,-46,
净利润(扣除非经常性损益后)(万元),-11013,-2382,-2387,-4023,1685,3545,-1063,7970,--,3092,-899,7880,326,4506,531,-123,
经营活动产生的现金流量净额(万元),-36241,-27664,-18484,-11555,-24006,-8669,-4284,-19338,-19916,-13599,-7972,-15374,-8011,-11584,-1322,33,
现金及现金等价物净增加额(万元),-15941,-13829,-1469,9791,5008,21764,955,-12568,-12549,-10457,-5010,16056,28088,7142,44,-4,
总资产(万元),237825,234636,253187,250796,238017,251887,172162,176290,--,135420,--,124414,91088,52695,7216,594,
流动资产(万元),159097,155933,202763,199740,201090,216917,141000,145100,--,107720,--,116818,86601,51297,6662,181,
总负债(万元),132331,120732,141680,137685,124774,137088,104282,107414,--,72602,--,63021,36369,29489,5064,185,
流动负债(万元),127638,115729,135032,130111,116639,128992,95697,98879,--,63470,--,60632,34909,28288,4980,185,
股东权益不含少数股东权益(万元),105494,113905,111507,113111,113243,114799,67880,68876,--,62818,--,61393,54719,23207,2152,408,
净资产收益率加权(%),-6.97,0.7,-1.43,2.24,2.54,4.9,-1.46,14.26,--,5.34,-1.31,18.83,1.4,20.95,39.39,-32.84,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
