报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),1.64,1.01,0.87,2.85,1.54,1.37,1.31,4.22,3.49,4.67,1.89,7.72,5.35,3.32,1.33,4.42,0.9,2.69,1.79,1.53,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,14.37,--,9.97,--,7.9,4.37,4.47,3.76,2.6,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,6.25,--,2.75,--,4.11,1.14,2.33,1.63,1.23,
主营业务收入(万元),185583,117446,53305,181536,131909,84044,41242,138776,106398,68473,31302,92374,68451,43262,18736,66191,14012,48836,33532,29021,
主营业务利润(万元),119689,75276,34234,109965,79049,49931,24725,84746,65814,42567,19779,57285,42498,26643,11258,38245,7985,26463,17696,14900,
营业利润(万元),107738,66766,28979,93543,72908,45133,21610,64933,52564,33516,15496,44841,34179,20939,8497,27854,5801,16377,10628,9404,
投资收益(万元),9652,6703,3686,10686,9531,6258,3277,3437,2097,188,--,--,--,--,--,95,-86,175,183,--,
营业外收支净额(万元),5,17,2,1,-3,26,31,203,197,205,36,1359,801,743,250,979,36,178,390,568,
利润总额(万元),107743,66782,28981,93544,72905,45158,21641,65136,52761,33721,15532,46200,34980,21682,8747,28833,5837,16555,11018,9972,
净利润(万元),98286,60675,26098,85148,66361,41014,19634,59079,47756,30509,14120,43232,29987,18607,7432,24762,5042,15057,10009,8591,
净利润(扣除非经常性损益后)(万元),89097,54678,23122,74823,57536,35509,16636,54895,45040,29808,14089,42012,--,17976,7239,23794,4916,14838,9454,8108,
经营活动产生的现金流量净额(万元),76787,42109,17010,68355,47250,32467,14174,51556,34191,22413,10109,35024,26662,15419,7354,23015,6396,13030,9108,6897,
现金及现金等价物净增加额(万元),1879,862,969,28389,16115,5172,3017,-45691,-17358,-9068,168204,28438,17661,7780,-252,10537,212,2472,3074,3047,
总资产(万元),445946,434937,393043,374999,348487,320725,316556,302291,286556,270586,264207,90742,--,64137,--,52232,36696,35503,29445,19999,
流动资产(万元),427619,420480,378222,360011,333559,305480,300950,287421,274087,258753,254016,80902,--,55604,--,44327,30484,29541,24057,18435,
总负债(万元),33685,60221,19809,25057,16004,14834,11512,14886,12467,13743,10682,10292,--,8313,--,8016,12203,10453,8364,5427,
流动负债(万元),33577,60113,19701,24949,16004,14834,11512,14886,12467,13743,10682,10292,--,8313,--,8016,12085,10355,8279,5427,
股东权益不含少数股东权益(万元),412260,374716,373235,349942,332483,305891,305044,287406,274088,256842,253525,80451,--,55824,--,44216,24492,25050,21081,14572,
净资产收益率加权(%),25.13,16.21,7.19,26.9,21.32,13.48,6.61,26.67,23.52,17.85,16.14,71.36,--,37.2,15.51,74.51,18.29,59.41,51.13,69.41,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
