报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.22,0.18,-0.14,1.09,0.39,0.34,-0.21,1.16,0.36,0.31,1.05,1.05,0.25,0.89,0.91,0.79,
每股净资产(元),--,--,--,--,--,7.93,--,7.59,--,6.74,6.58,5.73,4.99,4.69,4.6,3.21,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.39,--,1.24,--,-0.46,-0.59,0.07,-1.13,0.91,0.36,0.57,
主营业务收入(万元),43513,33054,4085,86401,42418,32342,3313,82012,38679,28759,76131,70324,21178,61916,50562,39409,
主营业务利润(万元),13361,10209,1218,27243,12798,9878,1004,25797,11237,8817,23867,22511,6551,18197,16533,14401,
营业利润(万元),3730,3091,-1495,10714,3536,3117,-1655,10368,3236,2680,8684,9011,2283,7988,7057,5910,
投资收益(万元),789,424,111,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),1,1,1,7,5,5,3,54,-7,134,823,614,122,441,501,619,
利润总额(万元),3731,3092,-1494,10721,3541,3122,-1652,10421,3229,2814,9506,9625,2406,8429,7557,6530,
净利润(万元),3447,2919,-1494,9708,3216,2718,-1652,9252,2888,2491,8379,8395,2026,7122,6376,5506,
净利润(扣除非经常性损益后)(万元),2535,2426,-1548,9153,2949,2507,-1708,8991,--,2377,7685,7928,--,--,--,--,
经营活动产生的现金流量净额(万元),-14905,-8581,-9961,10012,-4404,3142,-7045,9945,-7289,-3684,-4754,551,-9049,7291,2908,3967,
现金及现金等价物净增加额(万元),-39644,-32590,-30053,32673,37772,2075,-11359,-1060,-14965,-12821,876,1268,-7470,-1076,6111,6327,
总资产(万元),153519,151996,147758,147608,143584,98618,--,93145,--,92510,92488,82287,76728,74703,61905,42078,
流动资产(万元),144445,144586,141673,141381,138403,93490,--,88266,--,87512,87033,78082,72661,71069,57944,38562,
总负债(万元),34448,33454,30961,29318,31785,35190,--,32435,--,38560,39830,36408,36838,37144,25092,19641,
流动负债(万元),32689,31647,29360,27667,30371,33712,--,30796,--,36830,38383,34432,34956,35405,24186,18569,
股东权益不含少数股东权益(万元),119071,118542,116797,118290,111799,63428,--,60710,--,53949,52658,45879,39890,37559,36813,22437,
净资产收益率加权(%),2.89,2.44,-1.27,11.91,4.76,4.38,-2.76,16.32,--,4.62,17.15,20.14,5.25,19.43,24.88,27.97,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
