报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.41,0.3,0.26,1.08,0.79,0.55,0.44,1.82,1.41,0.98,0.45,1.58,1.18,1.33,0.81,1.73,1.33,1.2,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,9.77,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,1.12,--,1.71,--,1.4,0.5,1.33,1.31,0.75,
主营业务收入(万元),64624,44653,24871,93024,67937,45725,24857,84228,58308,38404,17247,64382,46548,60112,30469,61343,48422,39099,
主营业务利润(万元),18302,12645,6888,30946,23055,15556,8380,29587,20909,14037,6510,23592,16638,22336,12006,24212,19747,16945,
营业利润(万元),10332,7461,4622,20139,15375,10913,5802,17645,13046,8956,4145,13233,9534,13112,7877,16105,12007,10825,
投资收益(万元),782,516,276,268,479,128,22,-130,-129,-143,-91,-371,-208,--,--,--,--,--,
营业外收支净额(万元),30,20,6,91,-281,-452,-0,258,339,308,227,2627,2189,248,15,191,513,430,
利润总额(万元),10362,7480,4628,20231,15095,10461,5802,17903,13385,9263,4372,15860,11723,13360,7893,16296,12520,11255,
净利润(万元),8586,6224,3841,16098,11864,8249,4678,14989,11253,7804,3567,12627,9401,10660,6449,13642,10558,9574,
净利润(扣除非经常性损益后)(万元),7322,5285,3501,14994,11871,8355,4673,14550,--,7553,3339,10388,--,10458,6437,13479,10122,9208,
经营活动产生的现金流量净额(万元),17846,10552,5360,31029,16828,3371,1250,20276,9266,8947,424,13718,11455,11215,3980,10672,7901,5983,
现金及现金等价物净增加额(万元),-32112,-27504,-16541,-21154,-59172,-51849,-30733,63589,6543,2149,-664,-1232,424,1733,1104,-472,-691,1094,
总资产(万元),237842,234402,240324,244090,226073,223469,228614,223218,156340,141355,--,127090,--,102163,89200,79695,63251,57882,
流动资产(万元),109712,109586,119391,130294,116458,117085,143514,140666,80490,68490,--,60592,--,53990,52689,48775,39284,36610,
总负债(万元),70478,69500,70361,78047,64572,65786,67276,66821,59305,47760,--,41450,--,33126,24596,21954,17435,13129,
流动负债(万元),57600,56583,57533,61954,49390,48696,50043,46723,38327,28644,--,25567,--,21826,15462,13886,17245,12779,
股东权益不含少数股东权益(万元),155144,152782,157866,154025,149791,146176,153271,148594,89412,85963,--,78160,--,65532,61400,54872,43316,42358,
净资产收益率加权(%),4.72,3.99,2.46,10.7,7.68,5.46,3.1,16.6,--,9.51,4.46,17.58,--,17.71,11.09,27.76,23.92,25.08,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
