报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.54,0.27,0.06,0.91,0.79,0.52,0.19,0.73,0.52,0.33,0.15,0.75,0.48,0.32,0.15,0.48,0.44,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,2.99,--,2.55,--,2.23,1.89,2.32,1.11,0.42,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,0.64,--,0.35,--,0.48,0.17,0.54,0.64,0.44,
主营业务收入(万元),27813,17904,7492,28928,20534,13749,6267,23031,16315,9727,4329,17635,11976,8084,3462,13746,6690,10981,8912,7556,
主营业务利润(万元),11462,6952,2894,13234,9530,6534,2981,10491,7503,4459,1892,8425,5617,3727,1855,7163,3250,5486,4821,3822,
营业利润(万元),5649,2823,604,9286,8047,5251,1869,6891,4246,2363,922,5008,3360,2205,1060,3259,2083,2846,2217,1800,
投资收益(万元),246,191,95,659,496,314,222,426,215,81,--,--,--,--,--,61,31,-31,-32,--,
营业外收支净额(万元),-7,-0,-1,12,27,35,-0,18,692,546,166,755,278,226,30,466,56,136,155,183,
利润总额(万元),5642,2822,603,9298,8074,5286,1869,6909,4937,2909,1088,5763,3637,2431,1091,3725,2139,2982,2372,1983,
净利润(万元),4854,2445,553,7992,6913,4555,1629,5993,4199,2537,959,4956,3157,2099,963,3051,1859,2444,2044,1750,
净利润(扣除非经常性损益后)(万元),4086,1876,340,6402,5902,3961,1203,4762,3447,2017,822,4375,--,1944,944,3632,1766,2334,1910,1378,
经营活动产生的现金流量净额(万元),7076,1306,461,2932,1405,1650,915,4714,2278,723,444,4214,2355,2278,499,3162,1098,2011,1926,1286,
现金及现金等价物净增加额(万元),450,-3713,325,7827,6329,3981,6837,4463,2161,127,22666,4402,2456,2320,485,4283,2426,906,1574,1270,
总资产(万元),83754,80394,81812,82109,67998,59947,58630,56506,52512,49012,47401,24317,--,20540,--,17520,14707,10671,8227,6515,
流动资产(万元),55764,52483,54315,54712,53252,48302,48925,48171,45596,43566,44409,21266,--,17951,--,14942,12568,9110,7099,5547,
总负债(万元),20932,22240,24833,26550,14553,9217,9151,8605,6437,4578,4434,4370,--,3527,--,2634,2098,1994,4880,5292,
流动负债(万元),15853,18423,20752,22307,10685,5234,6328,5596,5085,3697,3543,3402,--,2861,--,2057,2098,1994,4844,5203,
股东权益不含少数股东权益(万元),62278,57652,56526,55147,53115,50446,49225,47643,45851,44215,42749,19715,--,16821,--,14714,12444,8677,3346,1222,
净资产收益率加权(%),8.37,4.29,1,15.71,13.72,9.18,3.36,15.3,11.52,8.22,4.74,28.79,--,13.31,6.33,25.05,21.33,51.77,89.46,378.67,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
