报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.11,0.07,0.04,0.07,0.04,0.04,0.02,0.08,0.06,0.04,0.02,0.11,0.09,0.06,0.03,0.12,0.09,0.05,0.02,-0.08,-0.23,-0.21,-0.08,-1.74,-0.29,-0.21,-0.11,-0.37,-0.28,-0.19,-0.08,-0.23,-0.17,-0.1,-0.06,0.01,0.07,0.07,0.05,0,0,0.01,0.03,0.37,0.29,0.24,0.34,0.54,0.29,0.18,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,1.2,1.28,1.39,1.47,1.55,1.61,3.04,2.68,2.75,2.77,2.75,2.7,2.7,2.71,2.83,2.8,2.72,2.66,4.84,4.52,3.25,3.14,3.14,2.95,2.91,2.85,2.87,2.75,2.71,2.58,2.67,2.57,2.49,2.43,2.41,2.27,4,3.81,3.64,3.49,3.8,3.65,3.52,3.39,3.47,3.36,5.44,5.09,4.66,4.43,4.2,3.98,3.96,1.21,1.17,1.13,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.09,--,-0.02,-0.08,-0.01,-0.05,-0.09,-0.06,0,0.11,0.11,0.02,-0.04,-0.11,0.01,0.04,0.07,-0.25,-0.11,-0.11,-0.19,-0.14,0.4,0.23,0.08,0.77,0,0,0,0.63,0,0,0,0.54,0,--,0,0.42,0,0,0,0.52,0,0.56,--,0.89,0.19,0.82,0.53,0.97,--,1.04,0.41,--,--,--,--,--,
主营业务收入(万元),296712,193159,97389,337824,249020,169321,84390,372922,274241,182389,96363,578124,430603,290167,133103,547930,401879,262855,113716,520212,406979,292626,166512,730681,546763,364839,191114,662918,454730,295598,145092,508825,368636,239141,117805,429328,317568,215330,107370,335869,231184,153242,81238,319200,223372,141611,71132,205613,101725,69268,28955,121810,91769,61801,30538,109183,78234,48435,22718,82690,59557,37840,17295,68657,46999,29535,14336,52120,35442,22986,11735,48599,23001,52299,23932,35734,16047,30462,15351,21238,8648,14790,13181,10024,
主营业务利润(万元),83569,53167,28361,63712,42997,33076,13057,72756,54764,39150,23747,102914,80161,58932,24423,104855,77239,47675,22082,-41082,-42629,-26889,-4774,-41851,-39436,-23736,-12030,-51510,-45136,-24888,-7327,-24160,-10405,37,6680,42847,38639,33263,18757,24041,22026,16882,11743,68688,50018,36783,19642,50252,24021,14953,--,34114,29242,21706,10794,41003,30304,18668,8831,29114,20888,13179,5575,20526,15581,10303,5078,16052,13309,8659,4375,14399,7202,14025,6456,11385,4684,8655,4091,7011,2120,4431,3590,3103,
营业利润(万元),65217,40300,21701,37294,24427,20485,7012,39786,29277,20117,12852,55077,41351,28957,14987,62062,47181,26977,12358,-200872,-77786,-69539,-25423,-584955,-98681,-72907,-35681,-125988,-96249,-66689,-27739,-85478,-55181,-32586,-9398,2709,16128,14787,10123,1211,-344,2489,5547,45787,33240,26257,15676,43557,21096,13469,6084,26330,24222,19007,9478,33790,26586,16495,7723,25290,17825,11111,4510,17564,13218,8681,4174,13651,11452,7373,3710,12102,5983,11843,5219,9111,3425,6667,3393,7155,0,4498,3676,3421,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,501,368,320,115,256,273,174,--,67,63,63,--,0,--,--,--,--,--,--,--,-1387,-887,-267,--,620,183,183,43,1023,-7,-14,-14,46,-338,-98,37,1107,-242,-292,-21,-9,78,70,-3,729,213,215,0,1290,460,41,0,1522,1095,1814,1102,0,0,0,0,19,19,174,360,221,
营业外收支净额(万元),522,520,222,7472,3306,3306,3107,2915,2442,622,-1,3203,3274,763,495,2023,980,504,0,159869,2005,164,24,332,712,626,3,2470,2279,2171,495,4840,2722,1440,403,1681,363,-2,6,4326,3022,2120,200,23401,--,18919,--,--,--,--,--,183,0,0,0,-90,0,0,0,-92,0,-39,0,-43,0,0,0,-128,-118,0,0,-51,0,-44,0,-49,0,0,0,0,432,-15,--,--,
利润总额(万元),65739,40819,21923,44766,27733,23790,10119,42701,31719,20738,12851,58280,44624,29720,15482,64086,48161,27481,12358,-41003,-75782,-69375,-25399,-584623,-97968,-72282,-35678,-123518,-93970,-64517,-27244,-80638,-52459,-31146,-8995,4390,16490,14784,10129,5537,2678,4608,5747,69187,53882,45176,33966,48772,23546,14702,6765,26559,23882,18908,9515,34807,26260,16137,7702,25189,17811,11141,4508,18250,13388,8894,4174,14813,11795,7363,3709,13572,7035,13613,6276,9062,3414,6608,3345,7455,2587,4647,4020,4606,
净利润(万元),53246,33707,17978,36025,22046,20648,8979,41052,30286,19619,12478,55967,43453,28898,15162,62755,47680,26919,11965,-42105,-76783,-69899,-25551,-592158,-98471,-72843,-35941,-123883,-94061,-64581,-27335,-75417,-53845,-32004,-9591,883,11604,11576,8145,424,193,1961,4879,59606,45848,39336,30516,34989,15415,9620,4632,17871,15987,12619,6286,23974,17646,10840,5171,17377,12095,9479,3831,15726,11342,7529,3548,12537,9947,6258,3153,11554,6011,11577,5346,7696,2902,5613,2840,6352,1733,3113,3218,4485,
净利润(扣除非经常性损益后)(万元),52424,32902,17436,29046,19358,17964,6648,37985,27882,18999,12479,52891,40180,28135,14792,61093,46951,26541,11965,-234907,-78364,-70022,-25569,-592191,-98859,-73179,--,-126087,--,-66610,--,-78907,--,-33441,--,-466,--,11578,--,-2739,--,251,0,37078,0,20893,0,24711,0,8794,--,17749,0,12620,0,24008,0,10884,0,17429,0,9524,0,15695,0,7499,0,11665,9557,6224,--,10435,6014,11577,5348,7703,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),66590,46117,19864,89499,62983,46574,19936,81256,68022,50185,12763,130113,97449,60871,21295,112751,87281,44315,8729,25152,5171,28875,18199,84391,44763,29432,31500,-18494,-7745,-25475,-4017,-16365,-29495,-18828,203,17572,18320,3107,-6649,-17864,1372,5884,10933,-39543,-18213,-18406,-16724,-12756,21136,12073,4274,39753,36427,28170,18529,32294,29989,12902,6074,27865,22061,20099,5643,21204,15044,9593,5531,12445,0,13348,--,21290,4628,19629,7892,14547,--,12928,5160,--,--,--,--,--,
现金及现金等价物净增加额(万元),-10776,-14164,-16953,25099,18646,3508,-853,-16192,-11586,-22133,-23878,6932,-20540,-10521,5130,6997,-1039,-3577,-4724,23937,3547,-319,5070,-35574,-28444,-26478,-20563,-21320,36077,10275,29534,-48080,6217,24972,108572,14257,40040,12051,19641,-26904,-38931,-47805,-20573,-12352,42440,-30577,-5786,129467,10138,6655,6520,-15959,-16199,-956,9139,4373,2128,-4170,7221,5004,6203,6165,-11070,-8130,-17589,-8021,3030,20337,0,929,--,-943,4443,223,1179,2559,--,-115,-2230,--,--,--,--,--,
总资产(万元),792002,767099,770147,792715,790237,780738,739279,721908,716932,719100,741912,762612,746710,780881,797325,793396,804831,802473,813024,840485,1276788,1289256,1345309,1377424,1854960,1884892,1924110,1971996,2025055,1982976,1986761,1916959,1924093,1919984,1871201,1738335,1623534,1537669,1520593,1401903,1306070,1292992,1217869,1183638,1142431,1047042,1054073,993899,319209,309741,305726,296536,303164,249740,233275,209864,220397,199932,198333,181688,183114,172911,158463,147763,140026,145681,136122,128018,134206,102963,99741,95970,108321,95749,90061,86159,64821,65553,68447,71067,59163,31234,32906,29624,
流动资产(万元),146756,128197,128282,128091,124147,111829,116515,98438,106200,91976,99740,109307,90948,109075,118748,105854,111135,106671,106795,125282,159728,158466,199238,220177,458428,471869,493804,529762,570947,528854,532110,467340,501119,515932,580671,460873,480427,457485,461321,413729,362040,359776,369893,385306,411546,337373,361723,328336,40951,34546,40296,31134,36376,47265,58788,43667,49682,40443,53394,37585,49068,42615,33423,31302,23440,29046,--,--,--,--,15485,0,0,--,0,0,10853,9525,8527,8476,8589,5249,8309,8808,
总负债(万元),345216,344958,366707,404907,416851,412486,388321,376584,380676,391192,419657,452652,452383,501795,532799,544388,577283,595170,621076,661025,1556729,1562555,1574257,1577682,1566063,1570775,1573956,1586129,1613364,1541969,1508699,1409938,1392393,1365448,1291233,1299998,1173209,1089694,1075579,964923,869136,853803,759599,730231,701398,615599,617037,586758,145425,141678,137258,143514,152241,102132,84205,67035,79624,65929,59642,48152,53842,46457,34577,33416,43909,54493,48953,44398,43196,15642,15526,14907,25226,15254,8617,10061,6667,10300,15968,21428,9775,3989,6556,4247,
流动负债(万元),117890,113444,116613,121603,128370,129628,113907,107431,109491,113175,100899,126078,102678,136630,101482,99449,108599,125607,144147,169242,845785,823408,809174,800518,661398,607820,560905,576283,547396,501823,429226,344737,340087,309512,283795,281817,204885,160093,176450,242276,185641,223677,223141,194109,179653,184174,180701,137519,32891,34143,43562,56418,65429,57271,39381,24745,34879,31121,34856,28388,39090,36640,23570,17005,12988,22237,--,--,--,--,15526,0,0,--,0,0,7255,10884,15887,21351,9775,3989,6556,4247,
股东权益不含少数股东权益(万元),435621,411230,391814,376521,362231,357174,340036,334433,325308,317023,311692,299543,284343,269260,254845,239494,218417,198134,182846,170540,-289850,-282983,-238476,-209721,279419,304593,340845,376699,406471,435921,472979,500363,525003,548054,573609,432163,443590,445737,442823,434706,434692,436322,455364,450493,437759,428052,433434,404252,173361,167566,167806,152246,150105,146737,148140,141852,139765,132959,137605,132433,128172,125553,123886,114348,96117,91187,87169,83620,91011,87321,84216,81063,83095,80495,81444,76098,58154,55253,52479,49640,49388,27245,26351,25378,
净资产收益率加权(%),13.11,8.56,4.68,10.13,6.33,5.97,2.66,12.95,9.69,6.36,4.08,20.77,16.59,11.36,6.13,30.56,24.53,14.63,6.78,--,--,--,--,0,-30.07,-21.41,-10.02,-28.26,-20.74,-13.8,-5.62,-14.93,-11.25,-6.53,-1.91,0.2,2.64,2.63,1.86,0.1,--,0.43,0,13.91,0,9.58,0,15.8,0,5.88,--,12.22,0,8.52,0,17.11,0,7.96,0,13.69,0,--,0,15.5,0,7.77,0,14.36,11.11,0,--,13.97,7.3,0,0,0,--,10.7,--,--,--,--,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
