报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.29,0.17,0.1,0.39,0.37,0.34,0.18,0.59,0.47,0.33,0.21,0.84,0.58,0.31,0.1,0.58,0.13,0.46,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,3.77,3.57,--,--,--,2.76,2.31,1.94,1.81,1.44,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.58,0.33,--,--,0.08,0.42,0.42,0.24,0.47,0,
主营业务收入(万元),110168,69235,37395,114303,71745,40873,17955,66863,48540,28409,11851,58203,41507,24916,11603,40247,7197,31867,25350,19192,
主营业务利润(万元),23377,14413,8277,25460,17351,9657,5400,16411,12272,7707,3741,15847,11735,5727,2385,10235,1851,8329,6210,4077,
营业利润(万元),8043,4783,3005,11321,10984,5746,3028,8694,6491,4209,2472,10127,7868,4121,1347,7816,1436,5381,3563,2129,
投资收益(万元),104,31,8,249,232,232,148,97,6,0,0,27,20,20,14,19,2,3,--,--,
营业外收支净额(万元),-105,-95,-43,-135,-136,-50,1,-19,344,253,156,715,318,267,3,-70,94,52,71,29,
利润总额(万元),7938,4687,2962,11186,10847,5696,3029,8675,6835,4462,2628,10842,8186,4389,1350,7746,1530,5433,3634,2159,
净利润(万元),7234,4265,2564,9630,9125,4955,2602,7777,6003,4002,2216,9001,6257,3385,1098,6066,1220,4252,2814,1753,
净利润(扣除非经常性损益后)(万元),6971,4077,2451,8939,8815,4721,2416,7074,5705,3787,2059,8372,--,3143,1081,6103,1148,4577,2704,1601,
经营活动产生的现金流量净额(万元),9596,8154,428,2554,-2972,957,3142,7682,6084,4386,6268,3556,3598,3116,871,4541,4546,2288,3553,-15,
现金及现金等价物净增加额(万元),-3523,4016,1711,3472,5585,5286,1446,18188,43428,46320,5946,1445,1825,2976,2602,1144,4864,-1496,2023,-2472,
总资产(万元),167709,164897,157268,160325,160435,116834,105706,108790,101784,97947,52497,51494,--,--,--,43938,33782,29566,21485,18948,
流动资产(万元),107385,106425,99427,102301,104687,73797,76296,84435,83007,81967,37728,36318,--,--,--,29282,20573,19535,15320,12403,
总负债(万元),64558,65071,55290,63250,63865,22711,13936,19622,14390,11763,11849,13062,--,--,--,14162,8853,10856,7908,8185,
流动负债(万元),62192,60692,50921,57381,55495,22630,13899,19584,14390,11763,11849,13062,--,--,--,14162,8853,10856,7908,8185,
股东权益不含少数股东权益(万元),103169,99826,101978,97075,96570,94123,91770,89168,87394,86184,40648,38432,--,--,--,29776,24929,18710,13577,10763,
净资产收益率加权(%),7.19,4.29,2.57,10.33,9.76,5.41,2.88,10.93,9.15,7.27,5.45,26.41,--,10.76,3.51,23.8,6.31,26.82,23.12,15.58,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
