,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code
175,-33.94,20.95,-28.87,-118.24,-116.53,78.19,-117.2,-52.55,-98.9,-52.35,-33.94,20.92,19.38,-0.13,-18.01,1.18,1,12.55,-4239.63,35.16,0.38,64.84,2.13,121.77,54.22,93.46,3.17,61.15,96.53,52.36,274.07,60.57,-16.76,-983.29,-34.15,-29.74,-0.99,3.65,-0.14,142882,29939,-166494,-17,220,-166274,-167363,-168425,15284,-11005,493305,184538,173430,157015,318455,-41.6,1.67,162.04,4.33,0.23,0.25,62.29,1096.22,0.79,341.17,0.11,0.03,2.64,0.09,9.73,600227
176,2.99,26.17,2.94,20.13,18.31,72.23,15.61,4.84,14.29,4.84,2.99,39.82,17.29,0.38,142.67,2.54,1.89,103.77,-660.14,38.14,-0.17,61.86,0.5,162.89,61.65,109.25,0.91,66.63,95.39,26.06,170.88,33.23,15.53,27.63,6.95,3.02,0.14,3.58,0.01,46753,12235,8559,16,17,8576,7299,2204,-812,-5766,243796,99935,92982,39306,150814,4.94,2.66,101.38,1.36,0.55,0.19,199.2,1432.36,0.49,556.13,-0.02,-0,-0.11,-0.01,-2.07,002644
177,4.47,30.16,4.81,21.26,16.57,69.47,14.89,5.99,51.74,5.99,4.47,28.03,8.19,1.12,181.8,1.94,0.45,8.14,3838.82,25.36,0.36,74.64,6.14,162.53,33.98,79.85,7.6,78.44,86.42,32.78,398.93,46.85,50.09,59.75,5.48,16.92,0.52,5.08,1.01,28125,8482,4660,47,5,4666,4188,3943,-1063,-2576,93629,33237,23745,17159,69884,6.17,10.69,25.26,0.95,0.54,0.32,284.96,835.14,0.9,299.83,-0.04,-0.01,-0.25,-0.04,-6.19,300636
178,7.3,36.13,7.4,33.13,24.4,63.02,20.48,7.91,101.26,7.9,7.3,34.95,9.66,-0.16,148.31,11.8,5.36,359.18,-20737.14,7.58,0.01,92.42,0.36,644.09,8.21,41.41,0.4,41.25,39.66,5.81,1201.77,14.23,13.98,1.19,10.06,6.51,1.01,6.25,1.56,53402,19295,13031,,-21,13010,10940,10303,13817,2849,149731,94849,11357,8041,138279,8.11,8.06,33.49,0.66,1.68,0.36,406.5,747.51,0.57,473.6,0.26,0.09,1.26,1.22,171.84,002880
179,5.19,62.12,5.09,32.72,20.87,36.41,20.19,5.82,29.57,5.82,5.19,72.33,31.08,8.19,275.34,5.36,4.69,145.07,-2141.9,10.87,,89.13,,234.33,12.19,,,70.41,57.26,10.25,,26.54,9.28,-20.17,0.48,-1.29,0.3,5.7,1.42,47094,29255,9829,75,795,10625,9507,6865,7118,-20846,183347,89768,19928,16754,163419,5.83,3.36,80.34,1.64,0.82,0.25,164.16,1071,0.5,544.79,0.15,0.04,0.75,0.36,42.48,603566
180,8.39,41.47,9.13,39.41,26.42,57.54,22.71,15.76,80.95,15.57,8.39,39.87,10.19,1.26,153.15,1.88,1.62,96.24,2525.9,46.08,0.09,53.92,2.56,258.45,85.46,74.04,4.53,68.07,77.55,62.15,284.4,19.12,8.36,26.73,25.15,27.48,0.81,9.05,1.28,96697,40101,25545,-309,639,26184,21603,20865,17736,2089,261625,152223,120555,80969,137073,17.64,5.64,47.87,2.61,1.19,0.4,103.41,671.98,0.7,386.93,0.18,0.07,0.81,0.15,21.9,300497
181,5.79,57.44,6.12,30.98,23.14,41.39,19.55,12.03,66.81,12.03,5.79,25.11,31.96,2.08,248.83,1.25,1,29.38,530.8,51.92,0.33,48.08,2.97,262.32,107.97,108.97,5.81,60.22,115.69,79.89,245.32,20.74,8.46,10.57,4.76,15.79,0.67,1.5,0.32,68643,39429,15885,370,-39,15846,13423,12075,15785,-21901,231981,102938,120437,82236,111544,11.39,7.18,37.63,1.49,1.07,0.31,181.73,862.9,0.74,364.67,0.23,0.07,1.18,0.13,19.19,002728
182,16.1,83.8,17.39,70.37,39.93,14.06,32.69,19.34,1046.01,23.28,16.1,83.47,39.55,-1.04,213.59,2.28,1.69,66.04,-7463.48,30.86,0,69.14,0.15,460.54,44.64,48.53,0.22,71.35,48.64,42.38,333.73,14.99,31.5,44.0,25.31,27.36,7.29,7.08,0.99,544362,456161,217382,1594,-3817,213565,124054,123193,157624,25914,1105431,733691,341181,322165,641349,21.25,5.95,45.4,0.41,2.52,0.53,658.06,507.61,0.78,344.04,0.29,0.14,0.89,0.46,48.93,000661
183,0.12,85.71,0.12,2.19,2.02,11.96,0.52,0.28,0.25,0.14,0.12,89.56,78.34,-28.96,4229.8,6.16,5.77,503.47,58.53,13.19,,86.81,,341.52,15.2,,,58.55,49.37,10.68,,25.21,-25.22,-93.21,5.89,2.93,0,5.31,0.9,18825,16134,381,-111,1,381,181,-238,837,-1514,79049,45173,10429,7332,64920,0.28,5.97,45.23,0.81,0.66,0.24,333.54,1131.6,0.41,662.9,0.04,0.01,8.49,0.08,11.42,002750
184,7.73,6.19,8.05,7.68,6.86,93.68,5.77,20.66,24.45,19.75,7.73,33.27,1.3,33.79,84.73,0.82,0.49,6.76,4716.19,60.86,-0.35,39.14,2.76,165.96,155.5,153.06,6.58,87.09,163.83,118.73,208.41,33.39,3.98,64.89,-41.79,-1.86,0.24,1.45,0.23,1116581,69099,76571,22573,4980,81551,64125,35512,32151,6846,832942,298846,506943,364101,310438,23.02,17.7,15.25,8.27,0.6,1.4,32.67,193.42,4.08,66.16,0.03,0.04,0.5,0.06,8.83,002102
