总资产利润率(%),0.03856836224738529
主营业务利润率(%),0.14591221608816804
总资产净利润率(%),0.015032042996712494
成本费用利润率(%),0.039761073491184844
营业利润率(%),0.05540504439657674
主营业务成本率(%),-0.150495179752953
销售净利率(%),0.05209083504170756
净资产收益率(%),0.011850616369797206
股本报酬率(%),-0.007750644411806131
净资产报酬率(%),0.055370805964133726
资产报酬率(%),0.03362416032833266
销售毛利率(%),0.08624732532484827
三项费用比重(%),0.05686036205088402
非主营比重(%),-0.001829222058996955
主营利润比重(%),0.06468747530131487
流动比率(%),-0.04969567286978729
速动比率(%),-0.05329197964224364
现金比率(%),0.009148118936548722
利息支付倍数(%),0.06221449806900033
资产负债率(%),-0.058359393464287965
长期债务与营运资金比率(%),-0.03209305450471232
股东权益比率(%),0.0583587655308003
长期负债比率(%),-0.03878606728880505
股东权益与固定资产比率(%),-0.12856960431972564
负债与所有者权益比率(%),-0.04472539605434888
长期资产与长期资金比率(%),0.016806123515324324
资本化比率(%),-0.01564577746655903
固定资产净值率(%),-0.07104300317265566
资本固定化比率(%),-0.044322013835275675
产权比率(%),-0.04481664772216867
清算价值比率(%),0.008170414311291207
固定资产比重(%),0.033750490452932075
主营业务收入增长率(%),-0.034291767272841264
净利润增长率(%),0.040611328797333236
净资产增长率(%),0.0014136629347785354
总资产增长率(%),-0.030199178140700503
基本每股收益(元),-0.025436394127131726
每股净资产(元),0.03784228245631476
每股经营活动产生的现金流量净额(元),0.014293372158850015
主营业务收入(万元),0.032012403887102615
主营业务利润(万元),0.05394617404178252
营业利润(万元),0.005873540158481668
投资收益(万元),0.06354558386674165
营业外收支净额(万元),0.05500155069789973
利润总额(万元),0.018415842038090484
净利润(万元),0.015730108150749583
净利润(扣除非经常性损益后)(万元),0.006435246528887629
经营活动产生的现金流量净额(万元),-0.014961545601541464
现金及现金等价物净增加额(万元),-0.018341428062790315
总资产(万元),0.005090606199413004
流动资产(万元),0.040981331448788835
总负债(万元),0.003882801863136993
流动负债(万元),0.034080277365609216
股东权益不含少数股东权益(万元),0.020107977853842874
净资产收益率加权(%),-0.05027452877189975
应收账款周转率(次),-0.011403705239998273
应收账款周转天数(天),-0.14195594444215962
存货周转率(次),-0.0276690231835412
固定资产周转率(次),-0.11039298030531226
总资产周转率(次),-0.04852414109382786
存货周转天数(天),0.03709729727603173
总资产周转天数(天),-0.0352182365281565
流动资产周转率(次),-0.005212824958383999
流动资产周转天数(天),-0.018857311430036567
经营现金净流量对销售收入比率(%),-0.03031338453663282
资产的经营现金流量回报率(%),0.06747918172279477
经营现金净流量与净利润的比率(%),0.07422006315407009
经营现金净流量对负债比率(%),0.04282489789417465
现金流量比率(%),0.018699232396652343
model,1.0
