,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code,model,location
0,11.09,35.34,11.36,30.16,22.38,63.72,18.89,18.41,76.86,18.46,11.09,39.54,9.83,-1.21,157.31,1.98,1.83,86.02,-5510.07,39.94,0.39,60.06,10.18,144.27,66.49,68.27,14.91,75.36,35.58,66.17,251.39,33.91,49.86,95.39,31.23,45.32,0.77,10.63,5.94,74453.0,26312.0,16664.0,-264.0,62.0,16727.0,13896.0,12789.0,12353.0,1611.0,126828.0,99723.0,50653.0,50408.0,75492.0,20.04,2.47,109.4,6.36,0.82,0.6,42.47,448.95,0.77,349.47,0.17,0.1,0.88,0.24,24.51,300632,0,10
1,1.23,8.85,1.38,2.05,2.02,91.03,1.82,6.0,35.33,5.84,1.23,8.49,5.55,-1.33,446.36,1.07,0.68,16.7,237.9,78.9,0.2,21.1,1.03,200.34,374.03,80.46,4.66,83.41,84.39,369.66,127.89,12.05,38.29,-17.79,15.12,28.13,0.36,5.65,0.04,393087.0,34790.0,7938.0,40.0,-144.0,7794.0,7330.0,1182.0,-1074.0,-22908.0,581914.0,478316.0,459155.0,447789.0,122176.0,6.18,2.59,104.4,2.41,4.29,0.76,111.96,355.64,0.91,295.31,-0.0,-0.0,-0.15,-0.0,-0.24,2845,0,9
2,6.49,25.88,7.56,17.4,14.31,73.52,12.57,7.86,47.95,7.87,6.49,27.81,7.95,-0.23,181.21,4.45,4.06,144.5,-2214.36,17.61,0.24607142857142864,82.39,4.5126020408163265,300.73,21.37,69.94943877551019,7.909336734693871,39.9,28.27,20.92,295.89382653061216,24.19,-2.16,-9.68,6.89,2.81,0.59,4.81,0.17,79352.0,20533.0,11357.0,0.0,-26.0,11331.0,9826.0,8595.0,3165.0,1774.0,153737.0,117928.0,27065.0,26501.0,124956.0,11.63,3.47,77.86,6.3,1.04,0.6,42.86,448.8,0.81,332.35,0.04,0.02,0.32,0.12,11.94,603115,0,3
3,4.61,29.66,4.79,10.82,9.47,69.32,8.13,6.16,24.51,6.15,4.61,29.1,17.27,5.0,312.99,2.88,2.05,125.34,-1538.72,25.13,0.1,74.87,5.02,316.87,33.57,36.57,6.21,65.84,39.71,32.64,409.99,24.08,2.45,-7.3,2.81,3.2,0.24,3.52,0.1,29591.0,8776.0,2803.0,139.0,1.0,2804.0,2403.0,2250.0,398.0,-700.0,52242.0,36709.0,13129.0,12766.0,39015.0,6.19,3.52,76.7,2.34,1.58,0.59,115.43,458.09,0.85,316.23,0.01,0.01,0.17,0.03,3.12,300743,0,29
4,1.59,15.69,1.65,5.43,4.86,83.72,4.41,3.84,50.48,3.84,1.59,26.02,6.48,1.4,318.12,0.78,0.65,20.34,330.69,58.56,-2.29,41.44,16.85,94.89,141.29,127.84,28.91,66.26,179.82,119.9,194.84,36.63,7.74,-18.92,2.42,7.43,0.5,1.89,0.08,2342151.0,367429.0,113862.0,-19.0,1637.0,115500.0,103381.0,54502.0,254255.0,65486.0,6497159.0,1655258.0,3804533.0,2133500.0,2692626.0,3.91,3.52,76.63,6.68,0.61,0.37,40.4,720.58,1.51,179.21,0.11,0.04,2.46,0.07,11.92,50,0,9
5,3.1,10.62,3.28,5.83,5.57,88.96,5.41,6.0,40.37,6.18,3.1,11.62,6.98,96.43,189.05,1.23,0.93,22.76,539.48,49.77,0.06,50.23,0.7,520.02,99.08,80.78,1.18,49.53,79.78,97.37,244.61,9.81,32.46,-9.58,7.55,25.89,0.35,3.47,-0.08,330687.0,35112.0,18425.0,17763.0,147.0,18573.0,15473.0,14075.0,-9539.0,-4396.0,577080.0,345824.0,287206.0,282245.0,257738.0,6.15,2.86,94.4,3.75,3.77,0.61,71.93,445.18,1.01,266.96,-0.03,-0.02,-0.53,-0.03,-3.38,600363,0,21
6,9.47,26.8,10.59,12.63,10.14,72.98,9.07,21.8,99.45,21.8,9.47,27.1,6.84,-0.05,265.05,1.52,1.27,44.71,6327.76,56.55,0.24607142857142864,43.45,4.5126020408163265,2404.16,130.16,69.94943877551019,7.909336734693871,51.72,33.53,129.36,295.89382653061216,1.76,53.53,108.61,32.5,26.96,1.0,2.38,0.81,132930.0,35621.0,13476.0,30.0,-37.0,13439.0,12052.0,11104.0,23174.0,6575.0,127248.0,108713.0,71962.0,71520.0,55286.0,24.48,3.54,76.36,6.91,39.85,1.17,39.09,231.09,1.33,202.98,0.17,0.18,1.92,0.32,32.4,300638,0,9
7,6.15,36.52,6.47,20.57,14.59,63.23,12.85,10.12,232.24,28.1,18.97,71.71,8.6,1.79,246.34,2.8,2.48,18.26,-2559.41,32.49,0.0,67.51,0.0,609.27,48.12,58.87,0.0,46.35,22.18,44.95,410.97,11.08,28.11,17.41,15.69,10.85,0.69,1.2,0.0,251215.0,91740.0,36646.0,72.0,596.0,37242.0,29652.0,28094.0,-43986.0,-53028.0,525103.0,446463.0,170601.0,159353.0,293025.0,10.52,1.22,221.69,3.57,4.39,0.5,75.59,535.93,0.6,451.81,-0.18,-0.08,-1.36,-0.26,-27.6,2025,0,23
8,-0.01,6.84,-0.01,0.95,0.64,92.79,-0.02,0.65,-0.06,-0.01,-0.01,6.77,4.79,16.16,737.79,5.16,4.15,103.8,3393.42,15.15,0.02,84.85,0.89,390.59,17.85,41.72,1.12,58.41,52.58,12.65,526.06,21.33,53.1,-149.68,3.69,-4.38,0.03,3.92,-0.27,164052.0,11214.0,1045.0,-229.0,475.0,1520.0,1689.0,-1209.0,28653.0,-86517.0,431178.0,238823.0,65320.0,46293.0,258987.0,0.68,3.61,74.82,3.35,1.05,0.37,80.49,734.89,0.61,442.99,0.17,0.07,2.46,0.44,61.9,200045,0,9
9,9.92,37.0,9.74,14.68,11.74,62.39,11.18,11.73,114.86,14.4,9.92,37.35,17.08,3.78,314.69,2.51,1.61,46.83,-7926.4,31.13,0.05,68.87,0.94,396.35,45.19,41.22,2.84,62.44,34.87,44.03,147.18,10.33,-3.11,12.5,15.43,2.98,0.82,1.92,1.09,599312.0,221720.0,70366.0,2575.0,91.0,70457.0,48030.0,43409.0,-26818.0,-82025.0,675655.0,513412.0,210309.0,204878.0,409590.0,12.32,3.5,77.13,2.22,1.19,0.87,121.8,309.85,1.13,239.3,-0.04,-0.04,-0.4,-0.13,-13.09,2396,0,10
10,0.92,18.46,0.99,2.5,2.16,81.21,2.15,3.82,23.55,3.46,0.92,28.51,13.23,8.17,780.7,1.18,0.65,9.62,180.7,73.27,0.07,26.73,0.82,912.4,274.09,65.44,2.96,45.27,67.44,263.07,138.2,0.0,27.68,-31.79,-0.76,26.93,0.26,2.14,0.25,342360.0,63203.0,7402.0,-33.0,694.0,8096.0,8047.0,7193.0,-66943.0,-8885.0,795147.0,651805.0,582590.0,552678.0,210445.0,3.89,1.96,137.71,1.0,1.01,0.46,269.95,585.05,0.57,473.77,-0.2,-0.08,-9.11,-0.11,-12.11,2313,0,9
11,7.58,39.73,9.27,26.5,19.45,59.56,16.26,10.02,108.42,9.63,7.58,39.0,12.98,-2.77,204.73,4.19,3.81,81.49,10949.88,21.34,0.24607142857142864,78.66,4.5126020408163265,423.77,27.13,69.94943877551019,7.909336734693871,69.7,13.74,27.05,295.89382653061216,11.41,28.31,4.0,48.3,33.26,1.39,5.55,0.92,160072.0,63604.0,31140.0,-786.0,-74.0,31066.0,26938.0,27562.0,-34423.0,-3949.0,343509.0,306386.0,73299.0,73090.0,268816.0,16.0,1.77,152.28,3.72,1.15,0.57,72.52,473.52,0.65,412.4,-0.22,-0.1,-1.32,-0.47,-47.1,2960,0,6
12,9.53,27.58,9.68,19.68,15.68,71.53,13.74,11.84,35.66,11.84,9.53,28.8,8.38,1.0,173.43,3.86,3.58,200.29,-631.57,19.52,0.24607142857142864,80.48,4.5126020408163265,459.56,24.26,69.94943877551019,7.909336734693871,40.89,30.53,24.26,295.89382653061216,17.6,2.23,31.68,10.1,0.93,0.36,2.72,0.26,76384.0,21067.0,11980.0,-45.0,167.0,12147.0,10499.0,9109.0,21853.0,5568.0,110150.0,83089.0,21503.0,21503.0,88647.0,12.24,2.7,100.01,8.44,2.9,0.7,32.0,383.3,0.91,297.42,0.29,0.2,2.08,1.02,101.63,2937,0,29
13,13.22,65.63,13.97,84.79,45.09,33.21,39.57,14.15,62.2,14.33,13.22,68.35,19.97,17.47,142.46,12.81,10.33,104.88,-6703.84,7.78,0.24607142857142864,92.22,4.5126020408163265,874.28,8.43,69.94943877551019,7.909336734693871,53.93,15.91,7.22,295.89382653061216,10.6,35.87,41.7,12.9,16.6,0.6,2.53,0.13,62888.0,41276.0,28358.0,4447.0,615.0,28973.0,24032.0,19768.0,4661.0,-15879.0,188283.0,160666.0,14644.0,12539.0,169825.0,14.05,1.18,228.18,0.73,2.36,0.35,369.66,764.66,0.42,648.73,0.07,0.02,0.19,0.32,37.17,300726,0,25
14,13.09,27.42,15.92,15.1,12.01,72.09,10.93,30.21,216.82,29.69,13.09,25.99,9.39,3.34,221.61,1.69,1.34,91.38,-3457.59,55.9,0.0,44.1,0.0,437.04,126.76,45.58,0.0,81.09,46.35,106.89,230.68,10.79,8.32,59.71,44.45,33.95,2.19,3.02,2.08,1300122.0,356530.0,156089.0,585.0,4795.0,160884.0,141353.0,134327.0,281434.0,147220.0,1085614.0,863702.0,606859.0,511735.0,467857.0,34.18,122.96,2.2,5.64,8.02,1.46,47.91,185.4,1.86,145.4,0.22,0.26,1.98,0.46,55.0,2841,0,9
15,2.22,14.45,2.51,8.01,7.22,85.18,6.85,4.74,25.43,4.45,2.22,14.04,5.24,-0.1,198.85,1.68,1.39,52.71,-999.63,49.98,0.05,50.02,1.61,595.82,99.92,41.89,3.02,62.2,36.62,97.12,209.95,9.2,-3.12,4.98,4.55,10.66,0.22,2.65,-0.29,439309.0,63496.0,31730.0,-235.0,202.0,31932.0,26487.0,24774.0,-2094.0,40292.0,1351835.0,1104231.0,675646.0,656689.0,559135.0,4.79,1.17,230.14,2.31,2.75,0.37,116.99,735.9,0.46,582.15,-0.0,-0.0,-0.07,-0.0,-0.32,600118,0,5
16,11.4,42.32,11.71,35.85,23.07,57.35,20.79,14.65,48.9,13.95,11.4,37.68,6.7,13.46,183.37,5.39,4.64,54.16,-2307.07,18.22,0.24607142857142864,81.78,4.5126020408163265,327.89,22.28,69.94943877551019,7.909336734693871,69.03,6.33,21.51,295.89382653061216,23.51,5.47,5.02,8.35,9.14,0.52,1.67,0.63,59747.0,25284.0,13784.0,1852.0,5.0,13789.0,13010.0,12179.0,14162.0,3888.0,108942.0,103302.0,19852.0,19165.0,88820.0,14.06,5.61,48.15,2.21,1.69,0.56,122.01,479.4,0.59,454.55,0.24,0.13,1.14,0.71,73.9,300327,0,2
17,-10.53,0.92,-9.5,-31.73,-37.57,98.53,-34.46,-93.3,-93.41,-10513.82,-10.53,3.98,18.86,-0.3,-2.47,0.6,0.54,5.73,-366.84,99.9,-2.06,0.1,15.6,79.25,99755.68,126.33,47.0,69.86,43844.4,93402.69,117.3,4.88,-65.47,-348922.74,-99.6,-30.1,-0.82,1.27,-0.08,68444.0,631.0,-25715.0,-26.0,103.0,-25612.0,-20808.0,-21211.0,-829.0,-3439.0,224034.0,125665.0,223809.0,209556.0,-13343.0,0.0,0.74,366.9,4.21,4.93,0.28,64.09,980.04,0.46,583.03,-0.01,-0.0,-607.55,-0.0,-0.4,600898,0,28
18,10.53,47.82,15.29,57.9,35.78,50.59,30.81,27.84,319.86,27.91,10.53,43.27,9.75,1.94,133.37,1.43,1.04,71.4,-7356.73,62.27,0.24607142857142864,37.73,4.5126020408163265,520.57,165.04,69.94943877551019,7.909336734693871,76.84,29.46,164.23,295.89382653061216,13.22,270.6,44.23,41.44,196.92,3.29,5.02,-1.37,125138.0,59847.0,44780.0,779.0,93.0,44874.0,38788.0,37269.0,119224.0,120607.0,366131.0,325436.0,227991.0,226864.0,139320.0,32.33,3.01,89.79,1.25,1.66,0.5,215.95,544.14,0.58,464.16,0.95,0.33,3.09,0.52,52.55,2869,0,9
19,0.58,29.93,0.58,9.82,-10.54,69.07,6.77,0.93,4.33,0.93,0.58,28.95,41.02,222.4,274.24,1.72,1.35,7.23,282.81,36.95,0.24607142857142864,63.05,4.5126020408163265,18908.69,58.6,69.94943877551019,7.909336734693871,37.67,71.21,50.78,295.89382653061216,0.35,-30.68,-58.12,-4.07,-2.98,0.04,4.49,-1.26,19500.0,5836.0,-2056.0,549.0,4184.0,2128.0,1320.0,-3065.0,-5155.0,-15693.0,225916.0,124486.0,83474.0,72336.0,142442.0,0.91,0.28,950.04,0.69,15.83,0.09,391.02,3150.53,0.16,1729.66,-0.26,-0.02,-3.91,-0.06,-7.13,300449,0,5
20,-0.15,19.6,-0.15,0.24,0.23,80.0,-0.41,-0.25,-0.78,-0.33,-0.15,19.45,11.21,-53.76,8771.15,1.75,1.46,22.81,119.32,54.55,0.02,45.45,0.95,707.31,120.01,23.96,2.04,48.59,24.46,114.1,191.75,6.48,-22.19,-138.27,1.77,0.78,-0.01,2.87,-0.48,194384.0,38107.0,455.0,-214.0,-20.0,434.0,-598.0,-4092.0,-20668.0,-17548.0,528465.0,469715.0,288268.0,269061.0,237941.0,-0.25,0.72,372.98,2.01,3.82,0.36,134.42,742.98,0.41,659.34,-0.11,-0.04,-119.63,-0.07,-7.68,801,0,24
21,0.89,54.19,0.9,1.43,0.97,45.11,1.35,1.29,4.61,1.29,0.89,55.58,28.28,16.85,5109.64,3.21,2.17,21.27,-1695.59,30.67,0.08,69.33,4.35,832.42,44.24,23.82,5.91,63.49,25.32,43.38,328.89,8.4,11.87,-83.39,15.11,18.25,0.05,2.29,-0.6,172456.0,93447.0,1668.0,148.0,161.0,1829.0,2293.0,1492.0,-31552.0,-18199.0,259686.0,214103.0,79651.0,66801.0,177611.0,1.31,1.73,155.97,1.26,5.24,0.67,214.25,405.47,0.79,342.94,-0.18,-0.12,-13.58,-0.4,-47.23,603660,0,3
22,6.69,26.71,8.38,16.54,14.01,72.41,12.8,8.55,111.02,8.55,6.69,26.89,11.01,-2.06,191.57,3.55,2.89,95.63,-1633.64,21.68,0.24607142857142864,78.32,4.5126020408163265,193.37,27.68,69.94943877551019,7.909336734693871,75.38,42.35,24.01,295.89382653061216,34.3,-2.84,22.2,34.55,24.97,1.43,7.93,2.28,73644.0,19669.0,10318.0,-160.0,-51.0,10267.0,9423.0,6475.0,3082.0,15419.0,140794.0,94090.0,30520.0,26477.0,110273.0,18.35,3.33,81.01,3.44,2.0,0.65,78.48,412.4,1.01,266.38,0.04,0.02,0.33,0.1,11.64,300787,0,21
23,2.0,16.92,2.12,6.59,5.93,82.77,5.37,5.61,19.91,4.66,2.0,26.05,9.2,9.01,278.4,1.27,0.96,29.04,243.85,57.04,0.12,42.96,1.56,128.55,132.78,79.33,3.51,65.14,82.22,122.54,187.71,0.0,-12.12,-46.31,20.07,13.78,0.21,5.96,6.4,1155806.0,195537.0,68489.0,4580.0,1746.0,70235.0,66854.0,48255.0,8769.0,105477.0,3102221.0,2006527.0,1769514.0,1584644.0,1191945.0,5.77,1.47,184.17,2.03,1.29,0.4,133.18,682.85,0.62,435.34,0.01,0.0,0.14,0.01,0.55,2217,0,10
24,-4.23,14.09,-4.36,-26.01,-29.67,85.46,-25.04,-6.29,-18.67,-6.28,-4.23,14.41,26.46,25.62,-48.21,1.05,0.81,27.23,-1005.39,32.66,0.0,67.34,0.0,192.45,48.5,59.35,0.0,72.66,101.59,44.79,190.37,0.0,-25.99,124.91,-7.17,1.19,-0.17,1.59,0.27,19357.0,2727.0,-5744.0,-1536.0,87.0,-5657.0,-4516.0,-4575.0,-5304.0,2461.0,114635.0,36209.0,37438.0,34577.0,71778.0,-6.1,1.29,209.48,2.43,1.34,0.17,111.04,1550.83,0.57,472.36,-0.27,-0.05,1.04,-0.14,-15.34,2192,0,9
25,9.82,53.26,10.19,73.79,39.13,45.56,33.0,11.17,63.62,11.18,9.82,53.97,6.25,8.78,136.22,6.12,5.65,58.03,-3536.26,12.17,0.0,87.83,0.0,439.42,13.86,24.71,0.0,69.55,40.31,12.02,2324.72,19.84,18.18,38.55,10.47,12.3,0.64,3.74,0.34,38350.0,20426.0,15005.0,1327.0,-11.0,14995.0,12624.0,11360.0,14966.0,-7001.0,128909.0,83271.0,15692.0,13604.0,113061.0,11.46,2.72,99.25,2.78,0.99,0.31,97.0,874.35,0.46,589.13,0.39,0.12,1.18,0.95,110.01,300394,0,3
26,6.09,43.41,6.34,25.77,18.97,56.03,16.69,11.06,24.17,11.0,6.09,47.95,16.85,2.17,229.37,1.87,1.61,37.48,-3931.06,44.66,0.0,55.34,0.0,1069.33,80.69,12.87,0.0,70.05,33.79,78.74,209.29,0.0,-19.1,25.88,10.9,17.81,0.24,0.0,2.13,89795.0,38982.0,17034.0,407.0,-38.0,16995.0,14793.0,13865.0,-9251.0,-6369.0,246263.0,200208.0,109969.0,107314.0,133698.0,11.31,0.91,296.67,1.99,0.86,0.38,135.57,711.46,0.47,572.64,-0.1,-0.04,-0.62,-0.08,-8.62,2587,0,9
27,3.74,34.16,3.85,16.2,12.76,64.9,10.01,4.39,13.3,4.3,3.74,16.79,12.43,20.36,269.49,6.15,4.63,46.83,-17486.02,12.97,0.01,87.03,0.52,627.88,14.9,29.52,0.6,60.01,29.69,14.46,770.23,6.61,30.13,52.86,1.93,7.07,0.14,0.85,0.45,78808.0,26924.0,10052.0,2096.0,-61.0,9991.0,8025.0,5763.0,5572.0,-4369.0,210922.0,156414.0,27357.0,25443.0,182904.0,4.41,7.34,36.78,1.53,2.13,0.38,176.1,702.03,0.52,521.13,0.07,0.03,0.71,0.2,21.9,2351,0,9
28,7.74,38.44,10.36,31.36,20.7,60.91,20.36,9.07,139.74,9.05,7.74,37.85,6.83,5.92,179.28,4.54,3.6,315.0,-1049.95,14.52,0.04,85.48,1.51,772.97,16.99,60.53,1.74,73.72,61.6,13.97,804.05,9.96,28.04,22.39,159.41,104.62,1.53,7.62,2.9,220367.0,84717.0,45610.0,1152.0,1645.0,47255.0,44969.0,39486.0,70349.0,96725.0,579906.0,274582.0,84210.0,60507.0,495568.0,14.75,14.53,18.58,2.24,3.35,0.51,120.35,530.56,0.98,276.61,0.32,0.12,1.57,0.84,116.27,603986,0,5
29,1.48,21.09,1.49,2.24,2.09,78.22,2.78,1.96,14.33,1.97,1.48,21.38,9.89,28.34,1060.15,3.03,2.52,52.6,-875.02,24.73,0.18,75.27,6.73,364.59,32.85,45.18,10.19,53.82,39.25,30.93,254.93,21.15,-1.85,80.72,0.51,2.22,0.14,5.88,0.43046025104602514,243692.0,51403.0,5083.0,1609.0,-234.0,4849.0,6724.0,3177.0,6680.0,2599.0,457093.0,322049.0,113037.0,106426.0,343764.0,1.96,2.26,119.22,3.39,1.79,0.53,79.67,505.15,0.75,358.0,0.03,0.01,0.99,0.06,6.28,2906,0,9
30,-15.71,7.74,-13.04,-89.35,-101.64,91.14,-104.14,-72.56,-39.41,-67.01,-15.71,40.49,22.3,6.37,-7.56,0.73,0.72,23.93,-793.5,76.55,-1.63,23.45,23.19,147.32,326.47,131.42,49.72,89.11,261.37,324.58,128.36,34.69,89.46,-753.92,-59.09,-25.42,-0.4,1.89,0.72,52024.0,4025.0,-52875.0,-3011.0,-380.0,-53255.0,-55074.0,-55090.0,28715.0,2694.0,344774.0,133474.0,263931.0,182458.0,75905.0,-53.24,1.86,145.01,7.72,0.56,0.13,34.98,2156.55,0.27,991.19,0.55,0.08,2.07,0.11,15.74,2089,0,3
31,6.63,19.91,7.37,11.26,9.62,79.53,8.0,15.77,56.55,15.38,6.63,19.18,3.41,0.59,211.71,1.26,0.83,23.34,2236.77,56.93,0.34,43.07,4.49,340.89,132.16,77.17,9.44,79.67,85.21,126.6,180.59,20.61,70.96,83.63,27.27,31.4,0.54,2.24,-0.03,3783614.0,753280.0,363861.0,10147.0,-8061.0,355799.0,288752.0,273829.0,611098.0,150222.0,4565110.0,2889572.0,2598730.0,2284467.0,1830690.0,17.04,3.49,77.26,4.08,1.01,0.92,66.22,292.91,1.46,185.44,0.16,0.13,2.02,0.24,26.75,2475,0,9
32,7.56,19.52,7.79,12.41,10.94,80.16,9.0,9.9,92.53,12.53,7.56,20.65,8.67,5.27,176.45,2.61,2.18,102.68,3975.26,39.7,0.0,60.3,0.18,1084.82,65.85,39.67,0.3,58.66,39.79,48.66,324.08,5.75,-17.13,10.62,10.34,13.67,0.61,6.91,-0.48,1914753.0,373729.0,209392.0,8752.0,2411.0,211803.0,114494.0,76226.0,-142338.0,-289030.0,2280371.0,1733240.0,905394.0,664860.0,1156600.0,9.98,8.47,31.86,7.84,9.74,0.87,34.45,312.1,1.14,236.03,-0.07,-0.06,-0.83,-0.16,-21.41,600271,0,5
33,5.95,41.21,6.01,27.58,20.31,58.05,17.93,7.79,55.2,7.94,5.95,39.47,14.76,4.25,203.15,3.52,3.04,163.82,-406.83,24.99,0.24607142857142864,75.01,4.5126020408163265,404.68,33.32,69.94943877551019,7.909336734693871,74.35,44.56,25.23,295.89382653061216,17.87,35.45,-28.62,17.54,23.17,0.54,2.99,0.64,27813.0,11462.0,5649.0,246.0,-7.0,5642.0,4854.0,4086.0,7076.0,450.0,83754.0,55764.0,20932.0,15853.0,62278.0,8.37,3.08,87.59,2.17,1.27,0.34,124.56,805.01,0.5,536.25,0.25,0.08,1.42,0.34,44.64,300620,0,9
34,10.29,35.91,15.39,34.81,23.54,64.08,21.0,13.94,118.11,13.94,10.29,43.37,3.54,0.28,152.56,3.7,2.92,93.31,-1141.96,26.15,0.24607142857142864,73.85,4.5126020408163265,381.03,35.41,69.94943877551019,7.909336734693871,81.28,6.19,34.95,295.89382653061216,10.66,113.66,123.52,56.53,19.49,1.33,2.22,-0.33,78026.0,28022.0,18368.0,51.0,-1.0,18368.0,16383.0,16021.0,3614.0,21970.0,159191.0,151908.0,41630.0,41090.0,117561.0,19.44,3.42,78.89,2.08,1.16,0.73,129.55,368.35,0.78,346.2,0.05,0.02,0.22,0.09,8.8,603068,0,2
35,2.8,31.57,2.83,14.67,11.31,67.88,10.72,4.78,17.72,4.78,2.8,32.7,15.2,7.85,257.29,1.39,0.78,6.62,348.2,41.45,0.34,58.55,4.73,156.47,70.79,80.25,7.47,49.71,86.73,68.69,244.36,37.32,0.96,-2.72,4.03,9.0,0.18,5.24,0.67,33613.0,10611.0,3800.0,2273.071729957806,324.0,4124.0,3604.0,3094.0,7145.0,-6430.0,128826.0,63406.0,53398.0,45722.0,75428.0,4.81,1.36,198.82,0.85,0.46,0.26,315.9,1022.34,0.51,526.21,0.21,0.06,1.98,0.13,15.63,603633,0,2
36,-0.67,52.25,-0.62,-6.31,-6.24,46.98,-5.23,-1.29,-7.56,-1.44,-0.67,37.68,54.38,-32.03,-811.21,1.17,0.99,15.36,63.01,53.77,0.48,46.23,3.99,1129.52,116.33,87.46,7.95,70.1,95.01,112.05,186.17,6.41,-70.97,-122.0,-2.88,-10.64,-0.08,2.47,0.13,107611.0,56222.0,-6719.0,2431.0,-212.0,-6931.0,-4933.0,-5080.0,-45920.0,10940.0,846593.0,474759.0,455243.0,404728.0,383815.0,-1.43,0.94,286.47,0.74,1.38,0.12,365.46,2272.73,0.2,1326.13,-0.43,-0.05,0.11,-0.1,-11.35,2383,0,5
37,2.31,30.44,2.4,20.28,13.63,68.86,14.49,2.7,19.43,2.83,2.31,57.96,13.07,17.83,181.69,3.36,3.21,235.44,-499.09,18.38,0.0,81.62,0.0,989.45,22.52,86.39,0.0,75.47,47.8,22.27,287.42,8.44,-1.98,-17.28,4.45,10.92,0.18,2.52,1.4,50199.0,15282.0,6841.0,-71.0,1570.0,8411.0,6858.0,4357.0,2515.0,43259.0,315174.0,192209.0,57927.0,57283.0,253878.0,2.73,1.58,171.08,3.96,1.09,0.17,68.26,1630.43,0.28,972.97,0.05,0.01,0.35,0.04,4.39,300282,0,5
38,4.99,7.33,5.03,4.32,4.04,92.57,3.64,12.63,51.32,12.63,4.99,6.81,1.14,0.28,181.09,1.58,1.19,48.62,-1853.13,60.49,0.24607142857142864,39.51,4.5126020408163265,1063.8,153.08,69.94943877551019,7.909336734693871,23.98,12.2,152.68,295.89382653061216,4.0,-1.42,4.37,23.77,-1.36,0.52,1.59,0.48,27989587.0,2052797.0,1131600.0,1221.0,1994.0,1133593.0,1018485.0,953804.0,283916.0,-27041.0,20414879.0,19430954.0,12348213.0,12316577.0,8061698.0,14.18,3.3,81.91,6.12,23.2,1.38,44.15,195.23,1.46,185.33,0.01,0.01,0.28,0.02,2.31,601138,0,9
39,3.23,21.74,3.08,6.88,5.94,77.63,5.63,8.41,18.29,8.27,3.23,18.28,11.42,9.76,352.26,1.06,0.95,29.09,713.87,60.95,0.14,39.05,6.85,724.1,156.07,16.73,11.79,72.89,100.09,146.59,207.32,5.66,-8.5,527.81,-27.65,-24.55,0.19,1.72,0.27,89190.0,19386.0,5294.0,328.0,209.0,5503.0,5097.0,3983.0,3489.0,1871.0,155399.0,94659.0,94712.0,88963.0,60629.0,8.78,1.97,136.99,5.68,1.23,0.55,47.56,493.24,0.9,300.0,0.04,0.02,0.7,0.04,3.92,2660,0,9
40,1.2,14.02,1.34,4.35,4.01,85.59,3.12,2.2,6.94,1.98,1.2,20.86,7.28,1.72,345.55,1.22,0.89,48.87,359.62,39.47,1.47,60.53,8.88,85.5,65.2,95.14,12.79,76.65,109.1,60.8,264.7,0.0,9.85,-47.86,51.8,43.6,0.07,1.22,0.32,610661.0,85603.0,24501.0,155.0,272.0,24773.0,16760.0,8312.0,92523.0,-94609.0,1586094.0,538645.0,625987.0,442945.0,763376.0,2.66,4.95,54.57,4.09,0.7,0.43,66.05,625.72,1.11,242.41,0.15,0.06,4.86,0.15,20.89,2185,0,30
41,9.64,23.92,11.45,20.65,16.13,75.33,14.65,15.2,65.09,14.62,9.64,30.05,6.0,8.52,141.12,2.08,1.85,21.97,-8679.42,34.07,0.06,65.93,2.14,250.86,51.68,52.17,3.14,63.6,53.86,50.26,293.67,33.19,81.61,69.17,19.25,52.1,0.66,2.6,0.67,204821.0,48997.0,33037.0,1274.0,1684.0,34721.0,30641.0,27565.0,36683.0,-4736.0,311298.0,200766.0,106058.0,96502.0,201597.0,16.26,3.37,80.05,11.78,1.43,0.78,22.93,345.49,1.26,214.78,0.18,0.12,1.22,0.35,38.01,300735,0,9
