,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code,model,location
17,2.92,20.85,3.1,7.52,6.73,78.72,6.02,8.14,56.74,7.89,2.92,21.91,9.92,-0.35,311.14,1.3,0.98,24.28,730.79,62.95,0.22,37.05,3.28,194.74,169.91,85.6,8.14,72.13,93.18,145.05,179.2,19.3,-18.65,-43.35,2.42,8.94,0.57,4.97,0.91,214476.0,44727.0,14424.0,28019.82962962963,-50.0,14375.0,13067.0,12175.0,-17819.0,-17104.0,441763.0,289258.0,278094.0,222895.0,160495.0,8.22,3.19,84.52,2.62,1.8,0.52,103.25,524.07,0.78,347.54,-0.08,-0.04,-1.38,-0.06,-7.99,603179,3,3
18,-3.2,23.51,-3.12,-31.48,-36.7,75.75,-31.12,-7.22,-97.03,-7.22,-3.2,35.6,39.86,-1.14,-64.19,1.25,1.11,10.89,-245.25,55.64,0.02,44.36,0.6,248.4,125.44,44.61,1.35,88.19,74.63,120.99,180.59,19.54,-51.75,-438.07,-6.84,-0.08,-0.97,11.53,-0.73,24471.0,5754.0,-8982.0,85.0,17.0,-8964.0,-7617.0,-11013.0,-36241.0,-15941.0,237825.0,159097.0,132331.0,127638.0,105494.0,-6.97,0.22,1202.67,0.98,0.48,0.1,274.2,2694.61,0.14,1979.47,-1.48,-0.15,-34.84,-0.27,-28.39,300742,3,3
19,-1.6,13.77,-1.63,-2.48,-2.66,82.98,-3.81,-8.12,-46.78,-5.65,-1.6,20.54,16.92,-3.61,-538.64,0.89,0.77,35.79,-50.36,71.6,-2.01,28.4,11.12,70.49,252.15,142.55,28.13,83.26,198.36,212.39,153.7,32.13,-18.96,-232.06,22.37,9.53,-0.45,3.46,0.66,1155453.0,159068.0,-30692.0,-94.0,1161.0,-29531.0,-42146.0,-60137.0,15507.0,-19658.0,2744089.0,1198400.0,1964853.0,1349984.0,518932.0,-8.3,7.99,33.8,5.65,1.11,0.43,47.8,630.99,0.92,293.73,0.01,0.01,0.75,0.01,1.15,601127,3,0
20,4.62,14.19,4.7,7.37,6.58,85.46,6.04,10.24,202.43,11.09,4.62,21.48,6.92,42.67,207.71,1.2,1.06,45.59,-15319.42,58.34,0.36,41.66,3.56,102.99,140.06,89.23,7.88,73.16,96.87,127.87,182.92,64.89,-11.11,-22.97,8.07,3.29,1.56,1.22,0.51,10559646.0,1498286.0,694457.0,280935.0,26881.0,721338.0,492677.0,417736.0,662503.0,111520.0,13813105.0,8239379.0,8059172.0,6864930.0,4810993.0,10.5,4.18,64.54,8.61,0.8,0.78,31.35,347.49,1.29,208.77,0.06,0.05,1.04,0.08,9.65,600741,3,2
21,-2.46,10.37,-2.4,-13.1,-14.57,86.93,-14.04,-4.52,-37.4,-4.51,-2.46,14.01,21.23,-0.33,-71.41,1.05,0.86,15.47,-562.77,45.47,0.13,54.53,0.29,434.96,83.4,98.98,0.52,62.79,99.5,80.38,191.76,13.02,-59.59,-282.35,-2.16,-1.53,-0.37,3.86,0.81,540133.0,56026.0,-78690.0,31.0,229.0,-78462.0,-75998.0,-90822.0,-179667.0,-160626.0,3085179.0,1411339.0,1402966.0,1343348.0,1681034.0,-4.42,0.93,290.39,1.9,1.25,0.17,142.23,1582.65,0.34,786.03,-0.33,-0.06,-8.74,-0.13,-13.37,980,3,29
22,3.69,28.32,3.65,19.84,15.99,70.81,13.6,5.53,42.03,5.25,3.69,29.2,9.13,7.84,176.62,1.9,1.49,27.27,2589.2,29.63,0.05,70.37,1.32,186.6,42.11,67.23,1.91,72.25,76.56,34.42,368.55,37.7,-4.88,-31.51,3.63,5.21,0.41,9.77,1.12,64624.0,18302.0,10332.0,782.0,30.0,10362.0,8586.0,7322.0,17846.0,-32112.0,237842.0,109712.0,70478.0,57600.0,155144.0,4.72,2.91,92.87,1.84,0.5,0.27,146.4,1006.71,0.54,501.39,0.28,0.08,2.03,0.25,30.98,603809,3,24
23,6.59,32.78,6.39,34.04,25.05,66.49,21.26,7.59,60.79,7.59,6.59,33.38,6.36,7.75,130.88,6.84,6.46,199.44,-1378.93,13.28,0.09,86.72,2.99,1253.3,15.31,49.81,4.39,63.83,10.58,15.31,268.79,7.0,-35.35,-32.84,-3.96,-5.67,0.61,2.78,0.31,65793.0,21567.0,16483.0,1282.0,-5.0,16478.0,13987.0,12062.0,29604.0,15022.0,212406.0,192917.0,28205.0,28193.0,184201.0,7.28,3.04,88.93,3.73,2.73,0.3,72.35,898.2,0.34,805.49,0.45,0.14,2.12,1.05,105.01,603788,3,29
24,6.59,42.14,6.75,79.1,42.45,56.97,36.47,7.73,208.46,7.72,6.59,43.82,-4.2,0.64,99.3,6.01,5.78,486.32,-258.07,14.71,0.17416,85.29,4.816400000000002,933.1,17.25,84.23672,9.659759999999999,56.88,20.43,16.12,252.05600000000004,9.26,3.54,2.87,8.23,8.15,2.09,9.92,0.51,38111.0,16062.0,16180.0,108.0,-4.0,16175.0,13903.0,13128.0,7717.0,6877.0,211039.0,174268.0,31049.0,29014.0,179914.0,7.85,1.71,158.14,3.57,1.13,0.19,75.59,1458.67,0.22,1214.57,0.2,0.04,0.56,0.25,26.6,300695,3,29
25,0.13,20.34,0.12,0.44,0.53,78.86,0.28,0.5,1.91,0.33,0.13,36.28,14.28,3.48,4972.99,0.95,0.71,21.18,114.89,60.73,-3.81,39.27,8.23,136.31,154.64,114.71,17.33,72.06,138.76,142.35,166.52,0.0,-24.0,-95.66,-12.5,-12.76,0.03,2.54,1.39,317722.0,64616.0,1674.0,420.0,-375.0,1299.0,1371.0,5254.0,37473.0,-11089.0,695753.0,316623.0,422522.0,331647.0,274080.0,0.5,3.8,71.11,2.85,0.74,0.44,94.78,615.6,0.91,298.01,0.12,0.05,42.05,0.09,11.3,300100,3,29
26,0.41,13.27,0.39,0.21,0.1,85.97,0.62,1.7,3.35,1.46,0.41,13.36,11.44,767.81,6432.85,0.86,0.75,9.04,146.95,71.64,-0.43,28.36,3.78,151.24,252.61,143.11,11.76,68.53,162.17,234.64,136.3,18.81,13.93,-12678.7,-11.27,-7.51,0.04,5.31,0.36,3543126.0,470100.0,3571.0,52373.0,3737.0,7308.0,25751.0,-90584.0,270695.0,-154616.0,5336946.0,2882318.0,3823376.0,3349727.0,1514307.0,1.69,3.75,71.92,7.2,2.64,0.63,37.5,427.82,1.11,243.29,0.08,0.05,12.29,0.07,8.08,600166,3,5
