,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code
51,2.16,44.93,2.26,14.52,9.5,54.72,9.74,4.82,14.54,4.82,2.16,44.17,11.18,7.35,466.84,1.6,0.73,11.08,886.17,55.27,0.03,44.73,0.96,426.97,123.56,29.65,2.1,65.89,30.29,122.79,180.21,10.78,21.28,45.24,10.51,25.76,0.15,2.25,-0.16,115196,51752,10947,677,138,11085,11223,10138,16054,-19180,520037,449585,287423,280637,232614,4.89,0.88,306.23,0.29,1.34,0.23,930.39,1163.79,0.27,1000.74,0.14,0.03,1.43,0.06,5.72,603712
52,2.13,35.73,2.23,7.29,6.3,63.57,6.12,1.99,11.63,2.94,2.13,38.64,22.12,-0.49,567.68,2.45,1.85,31.59,515.1,27.49,0.24,72.51,12.18,882.15,37.91,32.45,16.72,66.26,52.81,34.67,252.13,8.77,17.07,46.05,13.68,8.69,0.07,2.43,-0.35,32170,11496,2028,-7,-3,2025,1218,398,-6052,-6504,92309,56957,25373,23205,61262,2.06,1.27,211.85,1.49,2.67,0.36,181.49,740.54,0.6,449.85,-0.19,-0.07,-3.07,-0.24,-26.08,300479
53,3.07,17.48,3.16,9.12,7.78,82.08,6.16,5.62,30.29,5.62,3.07,15.84,5.39,5.38,218.04,1.42,1.08,40.45,-2179.97,45.37,,54.63,,262.36,83.05,,,77.13,70.25,79.22,,21.72,6.32,-8.43,6.05,4.42,0.31,4.91,0.83,134744,23552,10480,259,321,10802,8298,7818,18454,2995,270351,166604,122660,117000,147691,5.8,2.11,128.23,3.12,1.55,0.51,86.51,525.7,0.79,342.99,0.14,0.07,2.22,0.15,15.77,603890
54,-5.76,-7.43,-5.65,-30.13,-36.69,106.92,-36.32,-13.82,-65.36,-13.82,-5.76,41.43,18.46,3.17,19.59,1.02,0.73,26.28,-458.4,58.31,19.26,41.69,11.8,150.93,139.88,119.09,22.06,82.14,152.8,113.92,197.35,31.42,-15.81,-243.51,-16.45,-6.77,-0.65,1.24,0.05,196568,-14602,-72125,58,-2420,-74545,-71388,-83524,-225,-2935,1238976,449767,722479,442176,516496,-12.87,1.79,151.04,1.5,0.4,0.16,179.46,1736.33,0.43,631.73,-0,-0,0.29,-0,-0.05,300323
55,3.97,30.96,3.85,31.89,25.31,67.62,21.61,5.33,28.26,5.33,3.97,35.17,10.32,0.24,122.35,2.53,1.71,64.8,1700.54,25.64,0.03,74.36,0.62,237.54,34.49,87.01,0.83,58.49,87.73,19.31,623.23,29.59,-16.6,-55.56,1.12,-1.89,0.28,4.29,0.15,533219,165108,134979,350,-31,134947,115243,68856,246659,-212250,2905315,1010000,745024,399231,2160291,5.35,2.12,127.62,1.21,0.38,0.18,222.7,1515.15,0.46,588.24,0.46,0.08,2.14,0.33,61.78,600703
56,5.84,40.68,6.24,26.19,19.34,58.13,16.37,4.92,39.06,7.73,5.84,44.6,14.8,1.73,209.58,2.18,1.5,25.53,-11378.98,24.5,0.05,75.5,3.46,326.32,32.44,16.04,4.15,76.73,67.33,29.83,528.01,23.75,305.98,-320.45,-0.53,11.24,0.23,4.81,-0.17,57281,23302,11075,149,43,11118,5435,4039,136,-10480,160536,78932,39326,36153,110396,5.05,2.35,114.66,1.55,0.97,0.38,174.62,708.48,0.79,339.71,0,0,0.01,0,0.38,300397
57,5.12,40.71,6.16,20.9,15.57,58.87,11.84,6.51,35.43,7.79,5.12,40.03,15.92,-0.05,258.92,2.87,2.35,71.54,957.72,34.2,0.24,65.8,10.22,206.9,51.98,46.2,13.45,80.76,53.38,49.95,271.92,19.27,37.48,17.59,528.94,99.82,0.31,2.04,-0.04,135177,55024,21050,-212,201,21251,12413,9016,5431,-1072,312297,202609,106807,70713,190785,12.21,9.52,28.36,2.32,4.14,0.52,116.5,518.93,0.88,306.75,0.04,0.02,0.34,0.05,7.68,688007
58,6.49,29.38,6.52,19.48,15.22,69.89,13.37,10.05,55.59,9.86,6.49,30.1,11.88,16.54,182.85,4.04,3.13,30.58,1607.2,34.17,-1.9,65.83,2.98,120.12,51.91,104.11,7.8,72.67,47.35,25.89,149.18,41.58,1.02,-4.01,8.63,4.48,0.56,2.23,0.89,162124,47640,24669,2923,1385,26054,21707,17773,16308,-6082,333925,229832,114102,56907,216094,10.26,2.71,99.58,2.38,0.88,0.49,113.39,553.96,0.7,383.63,0.1,0.05,0.75,0.14,28.66,603989
59,2.62,13.03,3.07,6.42,5.8,86.74,5.11,3.63,35.74,3.61,2.62,13.65,3.24,1.84,225.16,2.72,2.35,26.2,1046.19,27.52,0,72.48,0.17,312.34,37.97,42.4,0.23,87.34,42.5,35.36,373.36,21.14,49.63,2.19,103.17,94.88,0.39,7.86,-1.36,309782,40371,17954,352,-23,17930,15914,14462,-264,117772,604816,418521,166445,153993,438323,4.67,2.72,99.38,5.19,2.18,0.6,52,449.33,0.89,303.44,-0,-0,-0.02,-0,-0.17,688005
60,4.65,23.79,4.8,16.14,13.96,75.88,12.22,7.55,84.12,7.24,4.65,23.54,10.41,14.1,170.17,1.82,1.44,46.4,-36416.92,35.74,0.02,64.26,0.64,344.36,55.61,64.49,0.99,56.96,65.13,50.83,299.03,18.67,-38.81,-48.58,3.5,5.38,0.86,8.19,-0.39,521647,124119,72847,10195,93,72939,65323,47761,23628,-62320,1370148,796656,489661,438780,864775,7.76,1.64,164.82,2.97,1.47,0.39,90.84,688.07,0.68,399.94,0.05,0.02,0.37,0.05,5.38,601869
61,4.61,27.47,4.69,18.34,15.9,72.19,12.73,5.64,46.14,5.32,4.61,27.22,13.66,10.16,173.76,3.81,3.44,79.1,-1224.2,13.37,,86.63,,295.12,15.43,,,64.33,61.89,14.04,,29.2,1.75,-16.15,6.51,6.8,0.49,5.26,1.28,24650,6771,3920,420,-24,3896,3295,2068,3467,-2306,68098,31589,9103,8284,58428,5.66,2.26,119.46,5.93,0.8,0.37,45.49,733.1,0.68,397.94,0.14,0.05,1.11,0.38,41.86,300689
62,5.7,28.68,5.77,17.3,14.17,70.67,12.07,7.92,36.96,7.92,5.7,29.3,11.33,7.8,200.62,2.54,2.26,38.63,-2934.92,28,0.01,72,0.52,230.06,38.9,53.57,0.72,67.22,53.96,34.1,402.21,31.17,-1.07,7.65,5.42,3.77,0.37,5.11,0.71,84854,24339,12020,834,112,12132,10245,7167,14698,-3301,179659,109864,50311,43174,129348,8.02,3.98,67.76,4.69,1.04,0.48,57.56,564.74,0.76,354.19,0.17,0.08,1.43,0.29,34.04,300739
63,1.78,34,1.9,13.27,11.44,64.11,7.39,14.19,5.1,12.58,1.78,39.3,20.23,2.75,297.05,0.29,0.29,6.54,267.13,85.86,0.0,14.14,0.0,2794.06,607.12,-166.72,0.0,28.1,568.17,486.6,79.02,0.52,21.22,361.49,-11.44,9.15,0.04,-0.72,0,13970,4749,1599,44,-970,1599,894,894,409,570,58028,11402,49822,39932,6300,11.54,3.99,67.63,19.5,27.26,0.26,13.85,1048.95,1.82,148.11,0.03,0.01,0.4,0.01,1.02,600234
64,2.14,31.7,2.23,5.96,5.31,67.55,4.7,3.86,10.4,3.86,2.14,34.52,20.55,-0.04,598.56,2.15,1.79,49,1300.82,44.57,0.09,55.43,4.33,2352.43,80.4,23.36,7.24,30.68,25.18,79.98,222.24,2.47,6.15,-12.97,7.86,25.66,0.1,3.21,-0.16,44243,14023,2351,7,-8,2343,2080,1589,-1799,-9701,97335,83747,43381,38940,53954,3.87,1.23,219.94,2.25,11.27,0.47,119.97,569.38,0.53,513.11,-0.04,-0.02,-0.86,-0.04,-4.62,300514
65,1.45,13.19,1.44,4.24,3.54,86.2,3.03,1.76,4.34,1.76,1.45,15.0,5.08,25.67,338.71,4.37,3.05,103.83,-311.15,17.85,0.01,82.15,0.39,1519.98,21.73,28.17,0.49,25.12,27.39,21.6,462.59,5.3,15.43,-29.3,1.02,3.96,0.04,2.14,-0.14,180277,23771,6377,1160,641,7018,5380,4123,-29668,8593,376647,291896,67233,66829,305221,1.75,1.88,143.37,1.9,5.81,0.48,142.24,566.87,0.61,440.03,-0.16,-0.08,-5.44,-0.44,-44.39,900941
66,0.3,15.69,0.32,1.01,0.88,84.02,0.76,1.32,2.87,1,0.3,15.06,12.22,-6.92,1604.99,0.9,0.55,11.67,134.61,70.33,-0.78,29.67,4.62,103.54,237.05,135.57,13.48,78.07,156.7,215.83,153.26,31.72,4.9,-59.13,-21.17,-1.69,0.02,5.63,3.37,363972,57091,3206,-597,351,3557,2234,-1540,-29273,24963,927016,496028,651978,550757,169469,1.33,2.12,127.15,1.79,0.85,0.42,150.96,646.09,0.82,330.96,-0.08,-0.03,-10.63,-0.04,-5.32,300256
67,4.85,48.85,6.67,39.32,25.13,51.01,22.54,5.33,87.13,5.33,4.85,48.26,12.73,-0.06,194.48,12.13,11.15,298.08,-598.84,9,,91,,702.96,9.89,,,48.08,11.21,8.14,,11.38,16.73,46.29,14.91,22.56,1.08,9.44,0.7,20527,10027,5159,-34.0,-3,5156,4628,3201,4337,5946,95377,85644,8582,7061,86796,10,3.75,72.05,1.51,5.01,0.3,179.1,912.16,0.34,793.42,0.21,0.05,0.94,0.51,61.42,688019
68,10.5,34.63,15.04,38.58,26.92,64.71,22.87,10.9,116.2,10.9,10.5,36.08,4.37,0.05,128.71,31.37,30.02,444.17,1826.55,3.64,0.08,96.36,1.67,,3.77,77.34,2.24,,24.74,2.52,405.55,,48.52,152.39,288.84,162.39,1.44,5,1.14,117327,40629,31581,30,-14,31567,26829,26322,18111,18192,255505,194603,9290,6203,246215,23.08,7.86,34.36,8.14,1.14,1.14,33.17,315.15,1.01,267.91,0.15,0.07,0.68,1.95,291.99,688388
69,3.85,23.73,3.96,12.27,10.99,74.99,8.39,5.12,20.01,5.06,3.85,25.18,12.91,-0.51,216.96,3.35,2.44,122.35,-2325,23.86,0.33,76.14,14.36,285.81,31.34,38.53,20.36,60.48,36.97,28.17,218.62,19.66,4.99,0.84,5.75,4.47,0.2,1.5,0,37012,8783,4069,-0,-20,4048,3107,2055,4506,5942,80607,57919,19233,17287,60674,5.25,2.64,102.39,1.79,0.95,0.47,151.18,572.88,0.67,403.05,0.12,0.06,1.45,0.23,26.06,600980
70,0.13,40.83,0.13,1.07,0.7,58.58,0.56,0.28,0.64,0.26,0.13,40.1,23.45,62.68,4618.51,1.8,1.21,29.76,-829.1,50.94,0.12,49.06,4.13,569.8,103.84,40.37,7.77,42.27,43.77,97.29,202.7,8.59,-1.82,-63.32,7.12,7.72,0.01,1.38,-0.41,69120,28219,481,253,130,611,389,23,-7948,-12584,306947,241043,156365,133827,137851,0.28,0.85,317.39,0.57,1.72,0.23,475.27,1167.32,0.29,918.06,-0.12,-0.03,-20.51,-0.05,-5.94,000561
