,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code
113,7.67,20.91,8.01,33.53,28.98,78.38,27.71,10.5,173.54,10.37,7.67,22.67,8.5,70.75,71.18,2.38,2.06,50.7,-3830.7,26,0.0,74,0.1,605.96,35.13,55.5,0.14,57.92,59.1,31.98,420.56,12.24,-7.88,-16.44,4.76,9.87,1.71,12.73,1.41,631946,132133,183138,128843,2490,185628,172676,154031,123897,26084,2282315,1284121,593323,540055,1644586,10.53,3.06,88.22,3.14,1.6,0.29,85.97,933.93,0.51,529.31,0.2,0.05,0.71,0.21,22.94,000581
114,3.18,25.24,3.16,12.9,10.81,73.85,9.07,4.65,32.37,4.69,3.18,26.03,9.17,8.11,233.1,1.66,1.29,19.12,-8696.7,32.08,0.09,67.92,1.7,203.55,47.22,75.91,2.44,71.44,77.81,44.31,313.1,32.43,-15.5,-44.81,2.47,2.29,0.32,,0.88,376584,95067,40711,3233,74,40785,33741,31522,77387,-15078,1072503,505667,344012,304534,725559,4.57,3.14,85.88,2.36,0.77,0.35,114.37,775.19,0.7,384.56,0.21,0.07,2.27,0.23,25.41,601689
115,-0.48,4.79,-0.55,-1.63,-1.8,94.96,-1.59,-1.58,-7.93,-1.63,-0.48,9.47,10.79,-46.06,-277.48,1.52,1.34,26.74,4.98,70.72,0.26,29.28,7.05,342.17,241.49,54.69,19.4,87.08,67.85,204.67,159.97,9.76,78.64,-319.82,4.79,75.61,-0.08,1.53,-0.03,1748357,83786,-31434,12669,1238,-30196,-26972,-94376,-620915,160523,5805136,4651778,4105195,3070210,1702458,-1.58,0.91,295.76,5.64,2.09,0.35,47.91,782.61,0.44,614.47,-0.36,-0.11,-43.82,-0.15,-20.22,600733
116,9.34,29.91,9.36,18.8,14.44,69.66,12.7,13.24,120.2,13.26,9.34,29.33,10.76,4.44,196.73,2.44,1.58,55.06,-2405.96,29.56,0.01,70.44,0.35,371.36,41.97,28.22,0.43,63.1,58.52,34.17,719.73,17.72,29.4,8.18,7.63,3.86,1.18,4.27,0.53,379020,113347,54727,-334,2890,57616,48016,49253,40333,8530,515472,302983,152375,124075,362705,13.73,4.23,63.88,2.58,2.69,0.74,104.68,366.65,1.25,216.66,0.11,0.08,0.84,0.26,32.51,603730
117,3.18,30.51,3.44,8.52,7.18,69.12,4.94,11.61,70.19,8.91,3.18,30.21,15.96,1.64,418.98,1.64,1.15,46.68,570.23,64.27,0.55,35.73,13.07,162.03,179.91,80.02,26.78,57.39,109.29,140.88,195,21.13,40.05,-31.02,-17.75,22.9,0.73,6.71,1.97,236062,72011,16939,34,248,17187,12083,10644,8143,-18979,366165,223189,235348,136440,104107,11.98,4,67.49,2.84,2.15,0.7,94.93,387.26,1.08,249.19,0.03,0.02,0.7,0.03,5.97,603197
118,1.12,17.7,1.16,2.89,2.83,81.49,2.25,3.81,10.71,3.76,1.12,18.67,16.22,157.78,621.49,0.86,0.65,18.25,189.4,70.12,-0.56,29.88,4.45,84.11,234.72,154.66,12.97,65.0,177.71,198.53,164.76,37.17,9.29,1103.28,-7.92,6.38,0.11,3.76,0.69,393336,69617,11147,17619,54,11202,8940,3885,5052,-738,787903,369595,552513,432257,234661,3.78,3.97,67.97,3.58,0.93,0.52,75.46,524.27,1.21,223.79,0.01,0.01,0.57,0.01,1.17,000700
119,0.22,11.64,0.23,0.64,0.59,87.7,0.64,0.43,1.75,0.43,0.22,11.78,11.32,62.29,1824.22,0.85,0.72,9.38,163.94,49.26,-1.87,50.74,2.61,309.36,97.1,106.3,5.07,25.53,117.69,93.13,201.78,16.89,33.15,-87.76,-2.64,9.33,0.02,3.63,-0.29,126759,14760,747,442,62,809,809,-914,-52,-4685,370623,149326,182582,175128,188042,0.43,4.47,60.44,5.23,1.3,0.35,51.63,762.93,0.93,291.73,-0,-0,-0.06,-0,-0.03,600178
120,0.13,16.54,0.11,0.36,0.03,81.98,0.34,0.24,0.12,0.24,0.13,19.46,14.04,278.11,4700.26,1.79,1.34,24.47,124.49,44.2,0.1,55.8,3.05,261.72,79.21,54.83,5.19,35.44,57.83,73.2,243.03,16.19,-12.1,-158.15,-14.82,-30.19,0,0.65,-0.05,33754,5584,11,222,108,119,116,-567,1756,-26551,87747,59434,38783,33165,48964,0.24,2.12,127.27,1.88,1.31,0.33,143.85,814.48,0.46,589.65,0.05,0.02,15.09,0.05,5.29,600698
121,0.38,11.53,0.37,0.92,0.78,87.98,0.8,1.8,15.24,1.67,0.38,11.75,8.24,63.2,1301.38,1.35,1.22,27.14,2727.34,77.52,0.36,22.48,7.78,269.11,344.78,56.01,25.72,46.77,75.41,307.25,141.15,8.31,-8.41,-15.49,13.59,-5.07,0.09,5.17,-4.52,1163055,134107,9049,5257,1256,10305,7814,-6300,35988,-93173,2458841,2041985,1906021,1507114,434849,1.61,0.99,273.09,5.78,3.8,0.46,46.7,585.18,0.55,494.6,0.03,0.01,3.89,0.02,2.39,600686
122,4.17,21.69,4.35,10.09,8.83,77.94,7.36,16.46,117.59,13.97,4.17,21.75,10.24,5.53,242.85,1.22,1,39.9,8121.48,70.16,0.44,29.84,4.19,280.1,235.1,140.13,12.32,55.52,159.82,157.66,190.89,10.12,7.21,15.93,11.37,12.26,0.89,12.44,-0.11,12670826,2748483,1118231,49092,13537,1131768,705824,644708,401471,-536993,22372660,11702871,15696343,9588018,4287711,17.2,7.81,34.58,4.72,3.4,0.59,57.23,457.08,1.13,239.87,0.03,0.02,0.43,0.03,4.19,000338
