报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,
基本每股收益(元),1.44,1.04,0.47,1.02,0.61,0.29,--,0.55,0.25,0.12,0.46,0.26,0.18,0.07,0.17,0.02,0.08,-0.02,
每股净资产(元),--,5,--,4.06,--,3.34,--,3.04,2.52,2.39,2.27,1.89,1.79,1.71,1.49,1.33,1.31,1.21,
每股经营活动产生的现金流量净额(元),--,1.14,--,--,--,--,--,--,--,--,--,--,--,--,--,0.16,0.32,-0.05,
主营业务收入(万元),117327,76194,33492,115331,78997,44982,19771,56623,25675,11309,42362,26867,17000,8235,34059,6764,30234,24377,
主营业务利润(万元),40629,27018,11958,30932,19805,10272,--,15138,7133,3150,11155,7194,4143,2050,5869,902,3930,3018,
营业利润(万元),31581,21194,9429,21228,12487,5869,2977,9977,5000,2328,6619,3951,2145,1108,1589,71,361,-518,
投资收益(万元),30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),-14,-10,--,-888,4,32,--,-189,-3,--,670,127,424,92,700,141,638,245,
利润总额(万元),31567,21184,9429,20340,12491,5901,2977,9788,4997,2328,7289,4078,2570,1200,2290,212,1000,-273,
净利润(万元),26829,18066,8062,17643,10630,5013,2583,8519,3699,1741,6208,3468,2169,1010,2089,205,966,-181,
净利润(扣除非经常性损益后)(万元),26322,17736,7875,17438,10159,5013,2583,8197,3701,1741,5638,3361,1809,932,1495,85,482,-426,
经营活动产生的现金流量净额(万元),18111,19675,13634,13492,12927,4588,-118,1657,3163,3767,10224,-1044,-832,-774,4741,1839,3769,-508,
现金及现金等价物净增加额(万元),18192,10545,10981,2610,2483,1745,--,-686,10480,-541,-2248,1846,-4613,-2718,4638,613,458,-92,
总资产(万元),255505,112307,107251,101336,97376,91843,--,79874,74521,61517,56773,60282,51665,52027,52519,51440,52020,21341,
流动资产(万元),194603,50387,45229,38244,36022,26875,--,20504,22725,12059,10465,16050,10001,10284,11509,9385,9531,9083,
总负债(万元),9290,25811,28856,31002,34056,34093,--,27184,26330,15320,12322,24382,17065,18456,24816,25578,26331,7821,
流动负债(万元),6203,22572,24047,21340,22826,23369,--,20156,24052,13648,10840,21056,14074,15034,21472,22398,23115,7551,
股东权益不含少数股东权益(万元),246215,86496,78396,70334,63320,57750,--,52690,37786,35828,34087,25498,24199,23039,17304,15420,15216,13520,
净资产收益率加权(%),23.08,22.95,10.84,28.68,18.33,9.16,--,16.82,10.29,3.84,19.15,10.91,5.68,3.3,7.54,0.67,5.33,-1.31,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
