报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,
基本每股收益(元),0.75,0.47,0.29,0.6,0.58,0.39,0.24,0.75,0.5,0.33,0.17,0.74,0.55,0.46,0.49,0.51,0.26,
每股净资产(元),--,--,--,--,--,--,3.23,2.99,--,--,--,--,4.09,--,2.39,2.25,1.97,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,-0.26,0.17,--,0.07,0.13,0.4,--,0.28,0.5,0.09,-0.05,
主营业务收入(万元),212125,131047,64119,260249,190390,131123,68096,241919,159828,105221,61712,221233,77702,147092,68869,80002,44220,
主营业务利润(万元),50826,29997,15755,62497,45134,29828,16080,54902,36322,23886,12962,54043,19536,33701,15702,16888,8195,
营业利润(万元),40778,25424,15785,34900,31194,20643,11892,38053,25495,17281,8903,36157,12395,19441,8894,6102,2851,
投资收益(万元),946,859,484,390,259,166,-115,73,24,83,-13,336,146,144,-15,147,-60,
营业外收支净额(万元),22,23,2,-4,24,24,40,-66,93,95,-82,1005,180,477,86,613,658,
利润总额(万元),40800,25447,15787,34897,31218,20666,11931,37987,25589,17376,8821,37162,12574,19918,8980,6715,3509,
净利润(万元),30572,19074,11664,23728,22545,15014,8690,27700,18346,12298,6314,27231,8755,16592,7314,6391,3198,
净利润(扣除非经常性损益后)(万元),25405,14339,7772,21333,21508,14097,7868,26841,17802,11861,5909,26398,8575,16138,7224,5675,2644,
经营活动产生的现金流量净额(万元),63512,41511,16200,36898,13879,3452,-9414,6106,997,2624,4702,14820,3104,9755,7505,1124,-621,
现金及现金等价物净增加额(万元),50955,51464,-4354,46053,12733,27272,-6392,6690,-582,7375,1262,3561,2544,-2316,-550,164,-1991,
总资产(万元),397139,385174,366221,359160,357253,355060,295395,276235,--,234801,--,224610,158872,143039,120691,99604,58454,
流动资产(万元),294893,292394,279055,275986,279259,277300,221965,202197,--,173183,--,168116,113528,105412,88410,71362,39896,
总负债(万元),162049,158720,146220,152454,154410,161282,163053,154461,--,128739,--,133505,87204,91192,81608,68355,33246,
流动负债(万元),134027,132447,122770,130501,130044,136846,139717,134157,--,108482,--,123049,78663,85855,76771,64402,30006,
股东权益不含少数股东权益(万元),214701,207612,202297,190669,189183,181519,118823,109929,--,94093,--,81612,65351,47091,35838,28524,24010,
净资产收益率加权(%),14.84,9.53,5.94,19.06,14.77,11.01,7.6,29.02,20.21,14.01,7.45,39.59,14.64,42.8,22.73,22.28,14.27,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
