报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.6,0.3,0.15,0.61,0.82,0.48,0.25,1.07,1.04,0.54,0.3,1.1,0.48,0.81,0.51,0.64,0.29,0.51,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,5.4,4.67,4.38,4.07,3.69,3.05,3.45,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,1.19,--,0.79,--,0.72,0.27,0.41,
主营业务收入(万元),58924,36481,16213,69426,52200,32022,15641,68171,52549,32509,14699,63319,29285,52191,24928,45413,40613,33009,
主营业务利润(万元),45591,28129,12496,53542,40197,24535,12027,53694,41640,25906,11704,50556,23659,42804,20430,36504,31428,24679,
营业利润(万元),8769,4186,2083,7459,7316,3569,1992,7471,6542,2826,1604,6162,2927,4308,2867,3441,1355,2551,
投资收益(万元),203,184,40,914,301,212,55,233,13,--,--,--,--,6,--,6,6,6,
营业外收支净额(万元),-53,29,4,678,255,291,28,-10,594,544,213,250,31,461,211,268,296,486,
利润总额(万元),8716,4215,2086,8137,7570,3860,2020,7461,7136,3371,1817,6412,2958,4770,3078,3709,1650,3037,
净利润(万元),6959,3502,1734,7098,6501,3288,1713,6612,6175,2964,1539,5707,2483,4201,2609,3312,1509,2639,
净利润(扣除非经常性损益后)(万元),6843,3373,1687,5907,6088,2923,1689,6297,5993,2826,1435,5515,2474,4066,2556,3209,1421,2427,
经营活动产生的现金流量净额(万元),3812,3629,3003,4759,4493,819,134,6206,5208,1695,2523,6134,2296,4073,35,3730,1388,2141,
现金及现金等价物净增加额(万元),11636,7970,-1215,5274,3638,5033,344,2400,21683,26221,-742,1960,-978,-2824,-4317,4835,-2039,-238,
总资产(万元),112644,101115,97706,98431,99424,94270,91472,85640,91925,86248,54585,54954,50985,49936,47061,46776,37974,35202,
流动资产(万元),70533,59898,62285,62830,63852,58657,55861,50405,57406,59230,27613,28238,24690,23410,23020,24530,21688,22270,
总负债(万元),41207,33098,30877,32372,31909,28814,27506,23430,30094,27582,25052,27033,26852,27305,26021,27726,22236,17358,
流动负债(万元),36624,30530,28440,29881,29272,26026,24660,20546,27182,24697,21257,23218,19197,19103,17307,18714,16820,15491,
股东权益不含少数股东权益(万元),71301,67844,66653,65872,67286,65456,63966,62211,61831,58667,29533,27921,24133,22631,21039,19050,15738,17844,
净资产收益率加权(%),10.19,5.24,2.6,10.91,9.93,5.15,2.72,13.98,14.29,8.76,5.08,22.74,10.47,20.21,12.88,19.04,8.99,15.21,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
