报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.63,0.41,0.2,0.89,0.06,0.04,0.05,0.11,0.07,0.02,-0.04,0.05,0.01,-0.04,-0.05,0.21,0.19,0.19,0.17,0.49,0.2,0.2,0.18,0.73,0.79,0.65,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.56,4.39,--,--,--,4.05,3.47,2.83,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.4,-0.46,--,--,-0.35,-0.18,1.4,0.44,
主营业务收入(万元),353571,230114,111354,393188,33175,22575,6208,36593,24353,15425,3216,17836,10683,6440,3283,27816,20883,18132,8796,47087,29202,21005,9384,50042,49426,52917,
主营业务利润(万元),323316,210382,101830,359195,8075,5520,2070,9469,6508,3130,818,3399,2104,575,155,8614,6310,4709,2211,11582,6030,4750,2369,12542,12830,11581,
营业利润(万元),66414,42798,21249,74448,1543,1192,717,1992,1138,290,-398,134,-29,-329,-540,2277,2135,2070,1548,4464,1745,1825,1657,6540,7058,5725,
投资收益(万元),120,101,46,1894,--,1,--,1,--,--,--,--,-104,-104,--,--,--,--,--,23,--,--,--,--,--,14,
营业外收支净额(万元),2482,2160,933,1046,5,6,-0,42,30,8,1,331,322,15,10,25,46,46,1,32,2,1,-1,25,69,55,
利润总额(万元),68895,44957,22182,75493,1548,1198,717,2034,1168,298,-397,465,293,-314,-530,2302,2181,2116,1548,4496,1748,1826,1656,6565,7127,5780,
净利润(万元),58617,38215,18802,67007,984,763,459,1097,743,235,-397,460,79,-414,-530,1886,1929,1885,1297,3750,1521,1516,1400,5552,5995,4914,
净利润(扣除非经常性损益后)(万元),56084,36092,17886,64032,983,759,459,1050,714,229,-398,179,-195,-427,-538,1864,1929,--,1297,3704,--,--,1400,5531,5937,--,
经营活动产生的现金流量净额(万元),45525,27664,3781,49716,1287,-3852,156,-5030,-8194,-8112,-4249,1673,-434,875,1252,-80,-4182,-2643,-3008,-3530,-2331,-3540,-2645,-1335,10647,3329,
现金及现金等价物净增加额(万元),25064,13139,-3160,33998,-1517,-5926,-1137,-8439,-11285,-11743,-4483,910,-1030,302,1251,15331,11911,14210,-3011,-4831,-6109,-4528,-2643,-2748,9048,1935,
总资产(万元),368211,338668,309371,295825,85208,84034,83333,86657,87839,73637,66850,69057,68410,66457,67949,71642,69572,75921,53270,58266,--,--,--,58197,60482,44622,
流动资产(万元),269191,247204,219924,207267,71624,70757,69666,73131,73082,65114,61709,63856,63531,61634,62929,66655,64887,71147,48629,53533,--,--,--,53563,55784,40085,
总负债(万元),136102,127014,106021,111727,26631,25734,25102,28155,29261,22582,16306,18117,17742,16288,17644,20808,18605,24229,18612,24904,--,--,--,27446,34143,23139,
流动负债(万元),127996,119107,98410,104094,26295,25385,24741,27782,27580,22582,16306,18117,17742,16288,17644,20808,18605,24229,18612,24904,--,--,--,27446,30591,23139,
股东权益不含少数股东权益(万元),231910,211437,203111,183822,52573,52326,52369,51918,52994,51054,50544,50940,50668,50169,50305,50835,50967,51691,34658,33361,--,--,--,30751,26339,21483,
净资产收益率加权(%),28.15,19.3,9.7,42.58,1.92,1.46,0.88,2.13,1.44,0.46,-0.78,0.91,0.15,-0.82,-1.05,4.48,4.58,4.43,3.81,11.77,--,4.9,4.45,19.58,25.27,25.4,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
