报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.14,0.08,0.02,0.04,0.08,0.03,0.01,0.68,0.49,0.34,0.17,0.74,0.44,0.45,0.6,0.79,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,5.88,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),243692,162449,82650,346878,248276,161662,77542,416585,308911,196601,99492,424690,287001,414489,455877,517910,524872,
主营业务利润(万元),51403,33701,16845,68587,47066,29126,14376,91187,65800,42962,22019,97475,62845,83897,90821,94312,81272,
营业利润(万元),5083,2516,-22,-748,1791,219,-22,30506,21410,14710,6894,32854,19321,18962,25401,34661,30729,
投资收益(万元),1609,1061,586,3183,2133,1501,595,2176,1550,1081,488,1722,1137,-2399,2224,2971,3293,
营业外收支净额(万元),-234,-28,13,-355,-172,-93,-53,-49,-139,27,657,1048,376,2078,2394,2092,3169,
利润总额(万元),4849,2489,-9,-1103,1619,126,-75,30457,21270,14736,7551,33902,19697,21040,27795,36753,33898,
净利润(万元),6724,3937,858,1664,3776,1473,582,28005,19668,13580,6867,29501,17624,18118,23879,31617,28426,
净利润(扣除非经常性损益后)(万元),3177,1536,105,-1888,752,-1018,-668,25485,17958,11910,--,28184,--,15580,21619,--,--,
经营活动产生的现金流量净额(万元),6680,-19627,-18977,7685,2929,1456,-21055,17190,-3572,-38530,-29584,32453,23616,39869,36203,17870,23242,
现金及现金等价物净增加额(万元),2599,-15571,-8621,-22572,-24700,-21385,-25542,29990,-8380,5934,-9851,-12933,-7340,12818,-10077,9935,2432,
总资产(万元),457093,443997,447606,454690,447149,446756,459447,476097,397279,--,410676,410359,--,371412,386651,405067,340598,
流动资产(万元),322049,310488,318336,324187,323745,327544,343574,361955,285324,--,301372,300875,--,260550,268656,285567,224204,
总负债(万元),113037,101685,106836,114375,104847,107364,109777,126440,150179,--,175329,172672,--,151047,172616,197294,153288,
流动负债(万元),106426,95820,100164,107936,100560,102272,103674,120669,140449,--,167258,164835,--,117884,159345,167676,149025,
股东权益不含少数股东权益(万元),343764,342078,340533,340083,342233,339326,349598,349468,247020,--,235028,237252,--,219571,213381,205422,184891,
净资产收益率加权(%),1.96,1.15,0.25,0.48,1.08,0.42,0.17,10.76,8.11,5.62,2.85,13.05,--,8.49,11.31,15.82,15.96,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
