报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.83,0.57,0.2,0.81,0.84,0.53,0.21,0.87,0.58,0.4,0.22,1.07,0.71,0.52,0.18,0.9,0.84,0.35,0.57,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,4.38,--,3.84,--,4.07,3.86,3.37,3.15,2.79,1.95,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,1.49,--,0.68,--,1.28,1.32,0.51,0.75,0.59,0.19,
主营业务收入(万元),49919,33895,14619,54577,39962,25151,12303,34089,22678,14861,8231,32122,21324,15215,7067,31695,32023,14522,26606,25543,21528,
主营业务利润(万元),35837,24031,9882,34364,24353,15174,7004,17300,11188,7130,3684,15974,10904,8129,3926,16514,16111,6803,11577,10458,7554,
营业利润(万元),12503,8786,3213,11271,8689,5584,2150,7883,5176,3237,1568,7571,5016,3680,1503,6454,6323,2639,4082,3231,1467,
投资收益(万元),83,80,36,428,421,349,178,538,178,120,57,207,81,83,47,154,357,99,256,214,550,
营业外收支净额(万元),-62,-20,-17,19,40,-41,85,349,219,291,117,351,234,194,3,362,183,45,174,139,16,
利润总额(万元),12441,8766,3197,11289,8730,5543,2235,8232,5395,3529,1685,7922,5250,3874,1506,6816,6506,2684,4256,3370,1483,
净利润(万元),9916,6827,2412,9691,7118,4501,1783,6924,4562,3005,1418,6817,4514,3340,1145,5771,5385,2215,3650,2930,1335,
净利润(扣除非经常性损益后)(万元),9017,5934,2307,9543,7072,4508,1693,6510,4135,2680,1302,6496,4295,3160,1136,5429,5206,2168,3483,2765,1196,
经营活动产生的现金流量净额(万元),18060,11301,3978,13430,9015,7085,2619,6675,3321,836,-764,9508,5070,4320,715,8194,8411,3243,4819,3796,1004,
现金及现金等价物净增加额(万元),-695,-4114,-1601,9791,14853,66,-543,-450,24398,23449,26536,1560,-2574,-1403,-1229,2480,-753,873,-3981,5116,1770,
总资产(万元),93731,87287,82515,81599,75531,71213,70406,67298,62937,61020,63719,36427,--,32990,--,34613,32972,34481,33383,35812,29568,
流动资产(万元),34690,31765,32146,34382,38357,41241,45495,46723,43202,42492,45654,18100,--,15481,--,16771,14796,17161,16532,20754,15122,
总负债(万元),20030,16666,12740,14245,12004,10333,8666,7341,5519,5159,5952,8411,--,8450,--,8621,8277,12957,13243,17999,19309,
流动负债(万元),19471,16207,12266,13757,11689,10025,8398,7088,5257,4888,5715,8175,--,8250,--,8445,8111,10919,13183,17935,19256,
股东权益不含少数股东权益(万元),72441,69344,68490,66079,63526,60880,61740,59957,57418,55861,57767,28017,--,24539,--,25992,24695,21524,20140,17813,10260,
净资产收益率加权(%),14.28,9.91,3.58,15.53,11.57,7.31,2.93,13.62,9.58,6.97,4.93,26.42,18.02,13.22,4.31,23.82,24.17,10.56,19.81,25.74,14.22,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
