报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.28,0.18,0.31,0.22,0.19,0.23,0.28,0.16,0.28,0.19,0.11,
每股净资产(元),2.93,2.83,2.65,--,2.34,2.14,1.92,1.8,1.64,1.36,1.18,
每股经营活动产生的现金流量净额(元),0.42,0.22,0.5,0.34,0.48,0.44,0.41,0.16,0.39,0.32,0.31,
主营业务收入(万元),34928,21710,40736,29771,31938,31466,33409,17122,31711,26923,25855,
主营业务利润(万元),11484,7257,12550,9022,9746,10169,12213,6407,10910,8643,7241,
营业利润(万元),6404,4162,7164,5057,4319,4268,5998,3343,5314,3587,1574,
投资收益(万元),59,59,13,13,-36,--,--,--,--,--,--,
营业外收支净额(万元),0,0,-8,-5,-2,1108,512,277,1109,768,787,
利润总额(万元),6405,4163,7156,5052,4317,5376,6511,3619,6423,4356,2361,
净利润(万元),5533,3609,6265,4429,3866,4574,5572,3127,5544,3765,2222,
净利润(扣除非经常性损益后)(万元),4911,3159,5577,4155,3103,3631,5147,2900,4601,3111,1554,
经营活动产生的现金流量净额(万元),8429,4480,9957,6813,9553,8789,8244,3243,7708,6324,6171,
现金及现金等价物净增加额(万元),-2852,-3263,3330,1022,-634,-2354,2937,-26,1394,-867,3183,
总资产(万元),82166,78449,68675,--,61185,50286,50660,47880,47774,44543,45555,
流动资产(万元),27279,25996,27507,--,20183,17763,21438,18774,17444,14990,16321,
总负债(万元),23566,21773,15608,--,14383,7390,12273,11943,14964,17277,22054,
流动负债(万元),17195,17859,11283,--,7175,5388,10181,9583,12004,9600,14894,
股东权益不含少数股东权益(万元),58600,56676,53067,--,46802,42896,38387,35937,32810,27266,23501,
净资产收益率加权(%),9.91,6.58,12.55,9.04,8.62,11.25,15.65,9.1,18.46,14.83,9.92,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
