报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),1.78,1.14,0.63,2.49,2.08,1.33,0.78,3.44,2.86,1.89,0.87,2.43,1.77,1.19,1.71,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,8.99,8.01,--,6.12,--,6.13,4.94,8.74,6.84,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.05,-0.01,--,3.06,1.91,1.21,1.82,0.99,0.57,
主营业务收入(万元),312540,216369,95325,410086,306008,189330,75504,324425,242915,143288,54161,95692,55600,35974,62667,59345,21202,
主营业务利润(万元),34369,21780,9440,34443,27468,17855,8158,29711,23893,15730,7249,20827,16139,10988,17109,11008,7044,
营业利润(万元),33729,21299,8467,32817,27021,16958,6915,24836,20804,13722,6146,17590,13832,9377,12966,7814,3913,
投资收益(万元),1825,1520,545,2426,1639,736,125,130,19,18,5,123,88,69,56,237,154,
营业外收支净额(万元),-11,-2,0,9,9,1,-1,196,40,42,-0,-145,-161,-159,22,-41,116,
利润总额(万元),33718,21297,8467,32826,27030,16959,6913,25032,20844,13764,6145,17445,13672,9218,12988,7773,4029,
净利润(万元),27966,17950,7005,27003,22407,13965,5691,20622,17177,11334,5213,14577,10629,7139,10246,5692,3100,
净利润(扣除非经常性损益后)(万元),25888,16180,6543,24789,20871,13308,5576,20333,17112,11278,5206,14629,10691,7241,10028,5828,2993,
经营活动产生的现金流量净额(万元),31533,25543,13513,429,15879,10643,811,20476,280,-86,-2384,18344,11460,7255,10899,2968,1704,
现金及现金等价物净增加额(万元),6480,43060,-7730,3157,18119,46537,35766,18370,-7422,792,-1978,10400,-424,7259,6280,2434,-12183,
总资产(万元),247886,233811,224743,214045,217872,196272,194054,89430,83573,91771,--,71727,56474,54713,42386,50267,36997,
流动资产(万元),193244,181412,181036,170200,179742,164193,170375,65450,62979,71623,--,49796,34509,32691,19700,23977,9720,
总负债(万元),61329,59601,59944,56245,64659,51497,53548,31944,29529,43565,--,34830,23509,17728,12716,24042,16465,
流动负债(万元),60813,57660,57991,54278,64337,51174,53218,31612,29191,43087,--,34444,23112,17334,12453,23923,16345,
股东权益不含少数股东权益(万元),180068,170053,164708,157702,153106,144664,140390,57369,53923,48081,--,36747,32798,36809,29670,26224,20532,
净资产收益率加权(%),16.29,10.77,4.35,20.26,17.41,12.05,5.09,43.82,37.89,26.72,13.25,41.55,30.38,21.48,39.36,24.35,16.33,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
