报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.05,0.02,0.14,0.91,0.4,0.26,0.16,1.08,0.41,0.3,0.12,0.86,0.12,-0,-0,0.6,-0.23,0.27,0.47,0.41,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.29,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.6,--,--,0.99,--,-0.01,0.4,--,0.27,
主营业务收入(万元),172456,108463,56644,245364,154156,98593,46921,182544,108793,68331,32876,144858,86774,56112,26556,122188,44027,97938,88976,73754,53694,
主营业务利润(万元),93447,59434,35749,145588,96902,62065,27915,119058,73266,46028,22273,92952,57048,35816,17202,79609,27926,61598,54474,44337,32913,
营业利润(万元),1668,647,4805,32959,14015,9350,4117,27991,9963,7194,122,10495,-1632,-2073,-1234,6060,-7478,-1852,4441,5851,5509,
投资收益(万元),148,58,78,465,605,266,25,565,490,198,93,--,--,--,--,--,--,--,--,--,1,
营业外收支净额(万元),161,48,34,7,111,148,152,114,584,374,2915,7217,4448,2247,1135,6510,2204,6312,4814,2463,2178,
利润总额(万元),1829,695,4839,32966,14126,9498,4269,28105,10547,7567,3037,17712,2817,174,-99,12569,-5274,4460,9255,8314,7686,
净利润(万元),2293,1054,5017,32195,14017,9144,3921,27077,10160,7528,3106,17467,2365,-99,-82,12028,-4573,5341,9382,8238,6417,
净利润(扣除非经常性损益后)(万元),1492,718,4867,29481,13354,8659,3577,26335,9661,7211,3041,16702,1882,-253,-129,11437,-4853,3982,8891,8698,7245,
经营活动产生的现金流量净额(万元),-31552,-24477,-3111,1998,-22562,-18866,-7173,8174,-7375,-12399,5790,13291,-11927,-13738,-6553,19889,-5596,-60,8060,-73,5386,
现金及现金等价物净增加额(万元),-18199,-14370,8224,7495,-1965,-8170,-5814,-22469,-38027,-38163,-24628,25138,-17531,-14950,-8272,9682,-5020,-2537,5566,557,-120,
总资产(万元),259686,254745,264433,258286,219611,213895,205056,194661,161013,146946,150886,150556,95091,--,--,99353,81055,92009,71261,60643,40431,
流动资产(万元),214103,214052,225035,224004,186906,182695,179104,169563,137074,124411,130255,132223,77223,--,--,82499,63047,73602,58872,49603,32519,
总负债(万元),79651,76700,79373,82639,63211,66061,60951,55847,39112,27668,34206,36968,32098,--,--,37015,34871,41185,25273,23989,12490,
流动负债(万元),66801,63786,66284,72794,62285,65086,59937,54809,38867,27378,33842,36590,31662,--,--,36427,32238,38478,25273,23989,12490,
股东权益不含少数股东权益(万元),177611,175794,182668,173254,153984,147858,144122,138814,121903,119266,116649,113544,62928,--,--,62338,45762,50336,45988,36654,27940,
净资产收益率加权(%),1.31,0.6,2.86,20.59,9.51,6.34,2.77,21.46,8.56,6.42,2.7,23.98,3.78,-0.16,-0.13,21.34,-9.52,11.05,22.7,25.51,30.75,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
